name,country,span,matches,innings,overs,madiens,runs,wickets,best_bowling_figure,average,economy,strike_rate,4-fer,5-fer
KAJ Roach,WI,2008-2012,11,11,39.0,1,284,10,2/25,28.40,7.28,23.4,0,0
C Rubagumya,RWN,2021-2021,11,10,30.1,1,214,10,2/9,21.40,7.09,18.1,0,0
Shagharai Sefat,Belg,2021-2022,5,5,17.0,0,94,10,3/13,9.40,5.52,10.2,0,0
Shiraz Khan,KUW,2019-2021,15,15,47.0,2,301,10,3/33,30.10,6.40,28.2,0,0
GT Taylor,Bhm,2021-2022,11,9,28.0,0,181,10,3/27,18.10,6.46,16.8,0,0
R Vinay Kumar,INDIA,2010-2013,9,9,31.3,0,247,10,3/24,24.70,7.84,18.9,0,0
Waqar Ali,CYP,2021-2021,4,4,14.5,0,67,10,4/14,6.70,4.51,8.9,1,0
S Wickramasekara,CZK-R,2019-2022,22,18,57.3,1,406,10,2/0,40.60,7.06,34.5,0,0
M Abdulla,MWI,2019-2021,10,7,26.3,0,164,9,3/25,18.22,6.18,17.6,0,0
RA Abolarin,NGA,2019-2021,10,10,27.4,1,144,9,3/8,16.00,5.20,18.4,0,0
Aftab Kayani,ROM,2020-2022,8,7,19.0,0,116,9,2/6,12.88,6.10,12.6,0,0
Asrar Ahmed,GRC,2019-2021,7,7,24.0,2,180,9,2/4,20.00,7.50,16.0,0,0
Atif Kamal,LUX,2019-2022,10,10,34.0,0,222,9,3/23,24.66,6.52,22.6,0,0
R Bakum,Ghana,2019-2021,15,3,10.0,1,56,9,5/26,6.22,5.60,6.6,1,1
Z Bimenyimana,RWN,2021-2021,9,9,34.1,0,269,9,3/16,29.88,7.87,22.7,0,0
DE Bollinger,AUS,2011-2014,9,9,35.0,0,249,9,1/22,27.66,7.11,23.3,0,0
TS Braat,NED,2019-2021,6,6,18.0,0,162,9,3/26,18.00,9.00,12.0,0,0
L Bruce,GIBR,2021-2022,15,12,35.0,0,303,9,4/13,33.66,8.65,23.3,1,0
LA Burns,ESP,2022-2022,4,4,13.0,0,59,9,5/11,6.55,4.53,8.6,0,1
J Butler,IOM,2020-2021,5,5,16.0,0,102,9,4/12,11.33,6.37,10.6,1,0
A Dhingra,LUX,2021-2022,5,5,20.0,1,138,9,2/26,15.33,6.90,13.3,0,0
TM Dilshan,SL,2006-2016,80,25,43.0,0,313,9,2/4,34.77,7.27,28.6,0,0
Elias Sunny,BAN,2012-2012,7,7,23.0,1,146,9,5/13,16.22,6.34,15.3,0,1
NT Ellis,AUS,2021-2022,3,3,12.0,0,78,9,4/28,8.66,6.50,8.0,1,0
Fazalhaq Farooqi,AFG,2021-2022,6,6,24.0,0,134,9,3/18,14.88,5.58,16.0,0,0
MGSM Fernando,ITA,2021-2021,6,6,24.0,0,121,9,2/15,13.44,5.04,16.0,0,0
A Gbla,SLE,2021-2021,8,5,17.0,0,110,9,5/16,12.22,6.47,11.3,0,1
BW Hilfenhaus,AUS,2007-2012,7,7,26.0,0,161,9,2/15,17.88,6.19,17.3,0,0
J Jagroo,Bhm,2021-2022,11,11,33.0,1,226,9,3/24,25.11,6.84,22.0,0,0
TE Kane,IRE,2015-2019,7,5,15.2,0,143,9,3/19,15.88,9.32,10.2,0,0
L Karlsson,SWE,2021-2022,11,10,26.0,0,182,9,3/25,20.22,7.00,17.3,0,0
AM Kimote,TAN,2021-2021,10,8,20.3,0,137,9,3/25,15.22,6.68,13.6,0,0
RK Kleinveldt,SA,2008-2013,6,6,20.2,1,173,9,3/18,19.22,8.50,13.5,0,0
ND Laegsgaard,DEN,2019-2019,9,7,23.0,0,105,9,2/5,11.66,4.56,15.3,0,0
KA Maharaj,SA,2021-2022,11,11,36.1,1,249,9,2/24,27.66,6.88,24.1,0,0
PK Matautaava,VAN,2019-2019,10,8,28.0,1,199,9,2/9,22.11,7.10,18.6,0,0
Md Nurul Huda,Fin,2019-2019,5,5,16.3,0,118,9,3/11,13.11,7.15,11.0,0,0
Mehran Khan,OMA,2015-2019,19,11,31.0,0,222,9,3/18,24.66,7.16,20.6,0,0
K Mendon,CZK-R,2019-2021,17,11,27.4,1,232,9,3/19,25.77,8.38,18.4,0,0
GRD Munasinghe,ITA,2019-2019,8,7,27.0,1,191,9,4/11,21.22,7.07,18.0,1,0
Najjam Shahzad,PORT,2019-2021,8,8,26.2,0,150,9,2/16,16.66,5.69,17.5,0,0
A Neill,SCOT,2019-2019,5,5,20.0,0,154,9,3/21,17.11,7.70,13.3,0,0
GM Ntambalika,MWI,2019-2021,9,9,24.0,1,171,9,2/13,19.00,7.12,16.0,0,0
Omar Hayat,DEN,2019-2022,7,6,17.0,0,117,9,3/23,13.00,6.88,11.3,0,0
RR Patel,KENYA,2008-2021,36,12,29.0,0,198,9,2/17,22.00,6.82,19.3,0,0
D Paterson,SA,2017-2018,8,8,29.5,0,265,9,4/32,29.44,8.88,19.8,1,0
Qadeer Ahmed,UAE,2015-2019,10,10,32.0,1,253,9,2/18,28.11,7.90,21.3,0,0
Rizwan Cheema,CAN,2008-2019,24,15,50.0,1,382,9,2/19,42.44,7.64,33.3,0,0
C Rumistrzewicz,ESP,2021-2022,6,6,24.0,3,84,9,3/15,9.33,3.50,16.0,0,0
Ali Nayyer,SUI,2021-2022,6,6,22.0,0,147,9,3/25,16.33,6.68,14.6,0,0
JRMVB Sanjaya,SL,2017-2017,8,8,28.5,1,250,9,2/20,27.77,8.67,19.2,0,0
Sayed Monib,KUW,2020-2021,7,7,20.0,0,184,9,2/17,20.44,9.20,13.3,0,0
KD Shah,HKG,2014-2020,35,18,54.0,2,386,9,2/9,42.88,7.14,36.0,0,0
L Siaka,PNG,2015-2022,34,8,16.0,0,96,9,3/16,10.66,6.00,10.6,0,0
Sirajullah Khadim,PORT,2021-2021,4,4,16.0,0,76,9,3/16,8.44,4.75,10.6,0,0
Soumya Sarkar,BAN,2015-2021,66,21,38.0,0,361,9,2/19,40.11,9.50,25.3,0,0
Sulaiman Ali,BUL,2020-2021,14,11,28.5,0,275,9,2/8,30.55,9.53,19.2,0,0
S Veerapathiran,BHR,2020-2022,10,9,27.0,0,185,9,2/17,20.55,6.85,18.0,0,0
A Venkatesh,SWE,2021-2022,11,7,20.0,0,132,9,3/13,14.66,6.60,13.3,0,0
Walter Behr,GER,2022-2022,5,5,17.0,2,86,9,3/12,9.55,5.05,11.3,0,0
I Wardlaw,SCOT,2013-2013,4,4,16.0,1,145,9,3/40,16.11,9.06,10.6,0,0
CG Williams,NAM,2019-2022,35,13,29.0,1,181,9,3/9,20.11,6.24,19.3,0,0
LB Williams,SA,2021-2021,6,6,23.4,0,208,9,3/35,23.11,8.78,15.7,0,0
UT Yadav,INDIA,2012-2019,7,7,25.0,0,219,9,2/19,24.33,8.76,16.6,0,0
Zaker Taqawi,SWE,2022-2022,4,4,13.4,1,89,9,5/25,9.88,6.51,9.1,0,1
Abdul-Shakoor Rahimzei,GER,2019-2022,22,10,23.3,0,152,8,2/10,19.00,6.46,17.6,0,0
S Adedeji,NGA,2019-2021,24,14,35.0,1,227,8,2/14,28.37,6.48,26.2,0,0
Adnan Idrees,KUW,2019-2021,10,6,17.5,0,120,8,3/17,15.00,6.72,13.3,0,0
Aizaz Cheema,PAK,2011-2012,5,5,17.0,0,116,8,4/30,14.50,6.82,12.7,1,0
M Akayezu,RWN,2021-2021,11,7,28.0,1,185,8,4/9,23.12,6.60,21.0,1,0
NK Aneesh Kumar,SUI,2021-2022,5,5,18.3,0,69,8,3/3,8.62,3.72,13.8,0,0
M Ansari,OMA,2015-2016,11,10,37.5,0,334,8,3/37,41.75,8.82,28.3,0,0
Bakhtiar Tahiri,BUL,2020-2021,12,10,25.0,0,220,8,3/13,27.50,8.80,18.7,0,0
OGL Bascome,BMUDA,2019-2021,17,7,16.1,0,132,8,4/10,16.50,8.16,12.1,1,0
KA Bazil,Caym,2022-2022,5,5,16.0,1,70,8,2/9,8.75,4.37,12.0,0,0
S Bhari,NEPAL,2019-2021,9,9,28.0,0,211,8,2/22,26.37,7.53,21.0,0,0
U Bhatti,CAN,2008-2010,7,7,23.0,0,148,8,3/23,18.50,6.43,17.2,0,0
CJ Boyce,AUS,2014-2016,7,7,23.0,0,152,8,2/10,19.00,6.60,17.2,0,0
MNR Cooray,Mald,2019-2020,7,7,24.2,0,174,8,3/26,21.75,7.15,18.2,0,0
CD de Lange,SCOT,2015-2017,8,7,27.0,0,171,8,2/17,21.37,6.33,20.2,0,0
DC Delany,IRE,2019-2019,8,8,28.3,0,222,8,2/12,27.75,7.78,21.3,0,0
M Faheem,THAI,2019-2020,7,7,20.0,0,133,8,2/11,16.62,6.65,15.0,0,0
Faran Afzal,ESP,2019-2019,9,8,29.0,0,143,8,3/11,17.87,4.93,21.7,0,0
Fawad Alam,PAK,2007-2010,24,6,15.0,0,95,8,3/7,11.87,6.33,11.2,0,0
SP Gauchan,NEPAL,2014-2015,9,8,30.0,0,169,8,3/9,21.12,5.63,22.5,0,0
JOA Gordon,CAN,2013-2019,7,7,25.5,0,184,8,3/14,23.00,7.12,19.3,0,0
Z Groenewald,NAM,2019-2019,10,10,28.0,2,163,8,3/20,20.37,5.82,21.0,0,0
L Hermida,Mex,2019-2019,5,5,18.0,1,94,8,3/20,11.75,5.22,13.5,0,0
Inam-ul-Haq,QAT,2019-2019,11,10,31.0,2,211,8,2/23,26.37,6.80,23.2,0,0
Irfan Hafejee,PNM,2021-2021,6,6,17.3,0,144,8,3/26,18.00,8.22,13.1,0,0
Jaspreet Singh,ITA,2019-2021,11,7,21.0,1,152,8,2/10,19.00,7.23,15.7,0,0
Jaweed Sadran,Aut,2021-2022,9,9,16.1,1,138,8,3/28,17.25,8.53,12.1,0,0
MO Jones,BMUDA,2019-2021,12,11,29.0,0,200,8,2/9,25.00,6.89,21.7,0,0
Junaid Khan,PAK,2011-2014,9,9,27.0,0,236,8,3/24,29.50,8.74,20.2,0,0
P Khadka,NEPAL,2014-2020,33,26,58.0,2,360,8,2/11,45.00,6.20,43.5,0,0
VJ Kingma,NED,2016-2021,9,9,30.4,0,302,8,2/44,37.75,9.84,23.0,0,0
P Kumar,INDIA,2008-2012,10,10,26.0,1,193,8,2/14,24.12,7.42,19.5,0,0
R Kumar,ROM,2019-2022,10,9,30.5,0,265,8,2/25,33.12,8.59,23.1,0,0
RAS Lakmal,SL,2011-2019,11,11,34.4,0,330,8,2/26,41.25,9.51,26.0,0,0
AV Lalcheta,OMA,2015-2019,17,15,51.3,3,374,8,1/13,46.75,7.26,38.6,0,0
WK McCallan,IRE,2008-2009,9,7,21.5,0,152,8,2/26,19.00,6.96,16.3,0,0
ZE Matsinhe,MOZ,2019-2021,11,8,24.0,0,158,8,3/27,19.75,6.58,18.0,0,0
RP Meredith,AUS,2021-2021,5,5,18.5,0,188,8,3/48,23.50,9.98,14.1,0,0
Mohammad Ashraful,BAN,2007-2013,23,8,23.0,0,210,8,3/42,26.25,9.13,17.2,0,0
AK Muslar,Blz,2019-2021,9,4,13.0,1,77,8,3/10,9.62,5.92,9.7,0,0
Nasrulla Rana,HKG,2019-2020,11,11,26.3,0,223,8,3/25,27.87,8.41,19.8,0,0
Nazmul Islam,BAN,2018-2018,13,12,38.3,2,265,8,3/28,33.12,6.88,28.8,0,0
R Nehonde,BOT,2019-2021,11,9,26.0,0,187,8,4/7,23.37,7.19,19.5,2,0
K Nestor,GIBR,2019-2022,16,14,45.2,0,419,8,3/37,52.37,9.24,34.0,0,0
B Niaz,Belg,2021-2022,8,6,14.4,1,82,8,4/8,10.25,5.59,11.0,1,0
AR Nurse,WI,2011-2019,13,13,40.0,0,318,8,2/6,39.75,7.95,30.0,0,0
R Panchal,ESP,2019-2022,17,12,36.0,1,197,8,3/22,24.62,5.47,27.0,0,0
Rakibul Hasan,ITA,2019-2019,8,7,23.0,2,147,8,2/20,18.37,6.39,17.2,0,0
Rumman Raees,PAK,2016-2018,8,8,28.5,2,220,8,2/24,27.50,7.63,21.6,0,0
Sarfaraz Ali,BHR,2019-2022,17,15,44.3,0,309,8,2/20,38.62,6.94,33.3,0,0
HAM Shah,DEN,2019-2022,15,8,22.0,0,140,8,4/23,17.50,6.36,16.5,1,0
I Sharma,INDIA,2008-2013,14,14,46.2,0,400,8,2/34,50.00,8.63,34.7,0,0
TAM Siriwardana,SL,2015-2017,22,13,23.0,0,206,8,2/17,25.75,8.95,17.2,0,0
A Symonds,AUS,2005-2009,14,12,30.5,0,277,8,2/14,34.62,8.98,23.1,0,0
Tejwinder Singh,CYP,2021-2021,6,6,20.5,1,105,8,3/11,13.12,5.04,15.6,0,0
H Thaker,CAN,2019-2022,11,7,24.0,1,109,8,4/20,13.62,4.54,18.0,1,0
RJW Topley,ENG,2015-2022,10,10,33.1,0,285,8,3/24,35.62,8.59,24.8,0,0
R van der Merwe,Arg,2019-2019,5,5,13.0,2,62,8,3/9,7.75,4.76,9.7,0,0
JJ van der Wath,SA,2006-2007,8,8,31.0,0,231,8,2/31,28.87,7.45,23.2,0,0
Arjun Vinod,SUI,2021-2022,6,6,15.0,1,85,8,3/16,10.62,5.66,11.2,0,0
Wahidullah Sahak,NOR,2021-2022,8,8,22.3,0,172,8,2/24,21.50,7.64,16.8,0,0
Waqar Khan,Peru,2019-2019,4,4,13.0,0,86,8,3/21,10.75,6.61,9.7,0,0
S Waqas Ahmed,NOR,2019-2021,10,8,23.0,1,154,8,2/24,19.25,6.69,17.2,0,0
Zeeshan Kukikhel,HUN,2021-2022,7,6,19.0,0,188,8,3/37,23.50,9.89,14.2,0,0
VD Adewoye,NGA,2019-2021,13,8,18.2,1,147,7,4/18,21.00,8.01,15.7,1,0
Afif Hossain,BAN,2018-2022,41,13,21.0,1,170,7,2/9,24.28,8.09,18.0,0,0
J Albin,BUL,2021-2022,18,15,35.0,0,374,7,2/19,53.42,10.68,30.0,0,0
Ameel Mauroof,Mald,2019-2021,15,14,34.0,0,289,7,2/13,41.28,8.50,29.1,0,0
MK Anafie,Ghana,2021-2021,10,7,19.0,0,136,7,2/32,19.42,7.15,16.2,0,0
Anasim Khan,BHR,2019-2021,12,11,38.0,0,300,7,3/15,42.85,7.89,32.5,0,0
MJ Ansell,IOM,2020-2021,5,5,18.3,0,98,7,2/9,14.00,5.29,15.8,0,0
A Ashokan,CZK-R,2019-2022,19,15,37.5,0,336,7,2/19,48.00,8.88,32.4,0,0
TD Astle,NZ,2016-2021,5,5,13.0,0,116,7,4/13,16.57,8.92,11.1,1,0
Basil Hameed,UAE,2020-2022,16,7,13.5,1,75,7,3/20,10.71,5.42,11.8,0,0
V Baskaran,SGP,2019-2020,13,13,38.0,2,258,7,2/13,36.85,6.78,32.5,0,0
JP Behrendorff,AUS,2017-2021,9,8,22.0,0,187,7,4/21,26.71,8.50,18.8,1,0
P Bhart,NOR,2019-2021,10,9,30.0,1,176,7,2/29,25.14,5.86,25.7,0,0
LT Bichard,GUE,2020-2022,7,7,22.0,0,132,7,3/28,18.85,6.00,18.8,0,0
D Bishoo,WI,2011-2019,7,7,20.1,1,137,7,4/17,19.57,6.79,17.2,1,0
RD Chahar,INDIA,2019-2021,6,6,22.0,0,167,7,3/15,23.85,7.59,18.8,0,0
H Dandapani,Fin,2019-2021,7,7,20.0,0,139,7,2/6,19.85,6.95,17.1,0,0
M de Lange,SA,2012-2015,6,6,23.2,0,228,7,2/26,32.57,9.77,20.0,0,0
JL Denly,ENG,2009-2020,13,6,12.0,0,93,7,4/19,13.28,7.75,10.2,1,0
M Dixit,LUX,2019-2022,12,12,29.5,0,228,7,3/19,32.57,7.64,25.5,0,0
G Goudie,SCOT,2010-2013,9,9,24.5,0,224,7,3/22,32.00,9.02,21.2,0,0
CN Greaves,SCOT,2021-2021,9,9,26.3,0,204,7,2/19,29.14,7.69,22.7,0,0
AS Hansra,CAN,2012-2013,8,6,15.0,0,94,7,2/13,13.42,6.26,12.8,0,0
JW Hastings,AUS,2010-2016,9,9,31.0,0,247,7,3/14,35.28,7.96,26.5,0,0
MC Henriques,AUS,2009-2021,24,10,23.0,0,194,7,3/22,27.71,8.43,19.7,0,0
MJ Henry,NZ,2014-2017,6,6,22.0,1,191,7,3/44,27.28,8.68,18.8,0,0
Hirenkumar Patel,Chile,2019-2019,4,4,15.0,0,82,7,4/21,11.71,5.46,12.8,1,0
GB Hogg,AUS,2006-2014,15,15,49.0,1,373,7,2/31,53.28,7.61,42.0,0,0
A Husain,Arg,2019-2021,10,8,24.0,1,117,7,3/8,16.71,4.87,20.5,0,0
Ibrarul Haq,Saudi,2019-2019,5,5,17.0,0,116,7,3/28,16.57,6.82,14.5,0,0
Imran Ali,KUW,2019-2019,4,4,15.0,0,136,7,3/16,19.42,9.06,12.8,0,0
Imran Haider,UAE,2016-2019,11,11,31.0,0,250,7,1/16,35.71,8.06,26.5,0,0
Jasdeep Singh,USA,2019-2019,4,4,14.0,1,140,7,2/18,20.00,10.00,12.0,0,0
Junaid Khan,PORT,2021-2021,4,4,14.0,0,105,7,3/24,15.00,7.50,12.0,0,0
S Randiv,SL,2010-2011,7,7,21.0,0,139,7,3/20,19.85,6.61,18.0,0,0
A Khan,DEN/ENG,2009-2022,9,9,22.5,1,150,7,2/25,21.42,6.56,19.5,0,0
A Kheterpal,HUN,2021-2022,10,10,40.0,0,287,7,2/30,41.00,7.17,34.2,0,0
NR Kumar,CAN,2012-2019,18,10,26.0,0,160,7,2/18,22.85,6.15,22.2,0,0
M Magagula,,2021-2021,6,6,20.0,0,138,7,3/12,19.71,6.90,17.1,0,0
MF Maharoof,SL,2006-2016,8,8,27.0,0,199,7,2/18,28.42,7.37,23.1,0,0
S Mahmood,ENG,2019-2022,12,11,38.0,0,398,7,3/33,56.85,10.47,32.5,0,0
NA Maiolo,ITA,2019-2019,8,7,28.0,0,152,7,2/8,21.71,5.42,24.0,0,0
P Malav,LUX,2020-2022,10,9,28.0,0,212,7,2/10,30.28,7.57,24.0,0,0
CS Martin,NZ,2007-2008,6,6,23.0,1,193,7,2/14,27.57,8.39,19.7,0,0
CE McConchie,NZ,2021-2021,5,5,18.1,0,117,7,3/15,16.71,6.44,15.5,0,0
GP Meade,ITA,2019-2021,14,6,22.2,0,130,7,3/18,18.57,5.82,19.1,0,0
LA Musiani,Arg,2019-2021,10,8,25.5,1,144,7,3/31,20.57,5.57,22.1,0,0
CT Mutombodzi,ZIM,2013-2020,15,9,26.0,0,188,7,2/12,26.85,7.23,22.2,0,0
Nasir Hossain,BAN,2011-2016,31,11,29.5,0,262,7,2/26,37.42,8.78,25.5,0,0
T Natarajan,INDIA,2020-2021,4,4,16.0,0,122,7,3/30,17.42,7.62,13.7,0,0
RB Patel,BUL,2020-2021,10,8,21.0,0,166,7,2/20,23.71,7.90,18.0,0,0
SR Patel,ENG,2011-2013,18,15,42.0,0,321,7,2/6,45.85,7.64,36.0,0,0
K Pierre,WI,2018-2020,10,10,28.0,0,269,7,2/44,38.42,9.60,24.0,0,0
KB Ahir,PNM,2019-2021,8,8,29.2,0,211,7,3/22,30.14,7.19,25.1,0,0
JB Reva,PNG,2015-2019,9,8,21.1,0,148,7,2/11,21.14,6.99,18.1,0,0
MJ Ross,ITA,2019-2019,8,7,19.0,0,120,7,4/15,17.14,6.31,16.2,1,0
Sahel Zadran,Aut,2021-2022,14,14,38.2,0,308,7,2/12,44.00,8.03,32.8,0,0
Sayed Shirzad,AFG,2015-2019,4,4,15.0,1,116,7,3/16,16.57,7.73,12.8,0,0
Sazib Bhuiyan,CZK-R,2022-2022,6,6,20.0,0,160,7,2/20,22.85,8.00,17.1,0,0
Sharafuddin Ashraf,AFG,2015-2022,12,12,35.0,1,259,7,3/27,37.00,7.40,30.0,0,0
Sheraz Sheikh,Belg,2021-2022,10,7,17.0,0,124,7,3/22,17.71,7.29,14.5,0,0
DR Smith,WI,2006-2015,33,11,23.4,0,212,7,3/24,30.28,8.95,20.2,0,0
OF Smith,WI,2018-2022,10,9,25.0,0,278,7,2/24,39.71,11.12,21.4,0,0
M Spry,Peru,2019-2019,4,4,10.0,0,62,7,4/8,8.85,6.20,8.5,1,0
S Sreesanth,INDIA,2006-2008,10,9,34.0,2,288,7,2/12,41.14,8.47,29.1,0,0
Syed Aziz,MAL,2019-2022,31,15,42.5,0,394,7,2/4,56.28,9.19,36.7,0,0
SR Taylor,USA,2019-2021,14,9,23.0,2,110,7,2/10,15.71,4.78,19.7,0,0
T Thushara,SL,2008-2010,6,6,22.0,0,179,7,2/37,25.57,8.13,18.8,0,0
JC Tredwell,ENG,2012-2014,17,15,52.5,0,416,7,1/16,59.42,7.87,45.2,0,0
JDF Vandersay,SL,2015-2022,14,14,49.2,1,395,7,2/26,56.42,8.00,42.2,0,0
DV Varghese,BUL,2020-2022,19,18,38.3,0,423,7,1/7,60.42,10.98,33.0,0,0
Waseeq Ahmed,BHR,2021-2022,8,8,24.0,0,159,7,3/14,22.71,6.62,20.5,0,0
SMK Waththage,CZK-R,2019-2021,10,10,31.0,3,235,7,3/4,33.57,7.58,26.5,0,0
BM Wheeler,NZ,2017-2018,6,6,21.2,0,216,7,2/16,30.85,10.12,18.2,0,0
B White,IRE,2021-2021,9,9,32.0,0,244,7,2/23,34.85,7.62,27.4,0,0
S Williams,SLE,2021-2021,10,10,31.0,2,158,7,2/13,22.57,5.09,26.5,0,0
Abdullah Jasat,PNM,2021-2021,6,6,20.0,0,151,6,2/20,25.16,7.55,20.0,0,0
IKO Aboagye,Ghana,2019-2019,4,4,14.0,0,83,6,3/26,13.83,5.92,14.0,0,0
Abu Hider,BAN,2016-2018,13,12,36.0,0,330,6,2/40,55.00,9.16,36.0,0,0
CN Ackermann,NED,2019-2021,14,11,28.0,0,179,6,1/6,29.83,6.39,28.0,0,0
BP Adapaka,HUN,2022-2022,9,7,24.1,0,200,6,3/29,33.33,8.27,24.1,0,0
A Ahmadhel,BUL,2019-2021,9,8,17.4,0,155,6,2/16,25.83,8.77,17.6,0,0
Amir Hayat,UAE,2018-2019,4,4,14.0,0,103,6,2/16,17.16,7.35,14.0,0,0
DK Anefie,Ghana,2019-2021,11,10,31.0,0,175,6,3/10,29.16,5.64,31.0,0,0
Arsalan Ahmed,GRC,2019-2021,7,7,20.0,2,153,6,3/15,25.50,7.65,20.0,0,0
Aziz Mohammad,Belg,2019-2022,9,7,20.5,0,136,6,2/15,22.66,6.52,20.8,0,0
WD Balaji Rao,CAN,2008-2008,4,4,14.0,0,107,6,3/21,17.83,7.64,14.0,0,0
TL Best,WI,2013-2014,6,6,20.0,0,154,6,3/18,25.66,7.70,20.0,0,0
JAR Blain,SCOT,2007-2008,6,5,20.0,0,108,6,2/23,18.00,5.40,20.0,0,0
S Bodha,GIBR,2022-2022,6,6,16.4,0,140,6,3/26,23.33,8.40,16.6,0,0
PRP Boissevain,NED,2019-2021,7,7,27.0,0,233,6,2/43,38.83,8.62,27.0,0,0
JA Burrows,IOM,2020-2021,5,5,14.0,0,87,6,4/10,14.50,6.21,14.0,1,0
NM Carter,SCOT,2013-2013,7,7,26.0,1,168,6,2/27,28.00,6.46,26.0,0,0
RL Chase,WI,2021-2022,6,5,14.2,0,85,6,3/25,14.16,5.93,14.3,0,0
JW Chilia,VAN,2019-2019,14,13,47.2,0,315,6,1/21,52.50,6.65,47.3,0,0
HA Chohan,TAN,2021-2021,9,7,22.0,1,136,6,2/17,22.66,6.18,22.0,0,0
MJ Clarke,AUS,2005-2010,34,15,26.0,0,225,6,1/2,37.50,8.65,26.0,0,0
S Dhaniram,CAN,2008-2010,11,11,33.4,1,192,6,2/9,32.00,5.70,33.6,0,0
SDJJ Dima,MOZ,2019-2021,8,3,9.0,0,99,6,3/41,16.50,11.00,9.0,0,0
Farhad Reza,BAN,2006-2014,13,11,26.0,0,261,6,2/34,43.50,10.03,26.0,0,0
PF Gallagher,Fin,2019-2022,10,7,27.0,0,165,6,3/29,27.50,6.11,27.0,0,0
K Gilham,CZK-R,2020-2021,7,7,28.0,0,162,6,2/34,27.00,5.78,28.0,0,0
MD Gunathilaka,SL,2016-2022,39,12,20.3,0,155,6,2/3,25.83,7.56,20.5,0,0
Gurpratap Singh,CYP,2021-2021,6,6,20.0,1,129,6,2/10,21.50,6.45,20.0,0,0
CV Harrison,GIBR,2021-2021,7,7,19.4,0,188,6,2/31,31.33,9.55,19.6,0,0
R Hekure,PNG,2019-2022,12,10,20.5,0,147,6,2/22,24.50,7.05,20.8,0,0
S Hirugade,Mex,2019-2019,6,5,13.3,0,92,6,4/16,15.33,6.81,13.5,1,0
Imran Arif,Saudi,2021-2021,4,4,16.0,0,88,6,2/14,14.66,5.50,16.0,0,0
Irfan Bhima,MWI,2019-2019,4,4,15.0,3,51,6,3/14,8.50,3.40,15.0,0,0
SA Jumbe,TAN,2021-2021,7,7,18.0,0,130,6,3/24,21.66,7.22,18.0,0,0
S Kaveri,Mex,2019-2019,7,5,13.0,0,70,6,2/10,11.66,5.38,13.0,0,0
PK Langat,KENYA,2021-2021,7,6,11.2,0,89,6,2/16,14.83,7.85,11.3,0,0
Kushal Malla,NEPAL,2019-2022,15,10,21.0,0,121,6,1/3,20.16,5.76,21.0,0,0
W Madhevere,ZIM,2020-2022,29,19,35.0,0,256,6,2/11,42.66,7.31,35.0,0,0
JL Martel,GUE,2019-2019,3,3,11.0,0,59,6,3/15,9.83,5.36,11.0,0,0
J Matharu,CAN,2021-2022,7,7,17.0,1,126,6,3/6,21.00,7.41,17.0,0,0
KD Mehta,CZK-R,2021-2021,3,3,10.0,0,63,6,3/18,10.50,6.30,10.0,0,0
CAJ Meschede,GER,2019-2019,5,5,20.0,0,115,6,2/11,19.16,5.75,20.0,0,0
DJ Mitchell,NZ,2019-2021,25,7,11.5,0,121,6,2/27,20.16,10.22,11.8,0,0
Muhammad Ansar,KUW,2020-2020,4,4,13.5,0,143,6,3/27,23.83,10.33,13.8,0,0
Muhammad Murad,QAT,2021-2021,4,4,11.0,0,70,6,3/17,11.66,6.36,11.0,0,0
JM Muirhead,AUS,2014-2014,5,5,15.0,0,109,6,2/13,18.16,7.26,15.0,0,0
Musawar Shah,QAT,2019-2021,8,8,24.0,1,137,6,3/18,22.83,5.70,24.0,0,0
T Muzarabani,ZIM,2015-2016,9,9,30.0,0,280,6,2/31,46.66,9.33,30.0,0,0
K Nassoro,TAN,2021-2021,10,9,24.0,1,135,6,3/6,22.50,5.62,24.0,0,0
A Natubhai Ahir,PNM,2019-2021,8,7,19.0,0,135,6,4/26,22.50,7.10,19.0,1,0
M Ntini,SA,2005-2011,10,10,32.0,0,298,6,2/22,49.66,9.31,32.0,0,0
IE O'Brien,NZ,2009-2009,4,4,13.0,0,116,6,2/30,19.33,8.92,13.0,0,0
SNJ O'Keefe,AUS,2010-2011,7,7,19.0,0,149,6,3/29,24.83,7.84,19.0,0,0
E Packard,GIBR,2019-2021,8,8,26.0,0,193,6,3/34,32.16,7.42,26.0,0,0
MW Parkinson,ENG,2019-2021,4,4,14.0,0,133,6,4/47,22.16,9.50,14.0,1,0
A Pusthay,Fin,2019-2022,12,7,16.0,0,129,6,2/15,21.50,8.06,16.0,0,0
R Ravindra,NZ,2021-2021,6,5,19.0,0,83,6,3/22,13.83,4.36,19.0,0,0
KA Reynolds,Blz,2019-2019,3,3,11.0,0,60,6,3/26,10.00,5.45,11.0,0,0
Rokhan Barakzai,AFG,2015-2015,3,3,10.0,0,75,6,2/21,12.50,7.50,10.0,0,0
JE Root,ENG,2012-2019,32,9,14.0,0,139,6,2/9,23.16,9.92,14.0,0,0
T Rossi,Arg,2021-2021,6,6,16.2,0,118,6,3/19,19.66,7.22,16.3,0,0
Sabbir Rahman,BAN,2014-2019,44,8,11.1,0,70,6,3/11,11.66,6.26,11.1,0,0
Sagar Pun,NEPAL,2014-2015,9,8,23.3,0,131,6,3/26,21.83,5.57,23.5,0,0
