name,country,span,matches,innings,not_out,runs,highest_score,average,balls_faced,strike_rate,100s,50s,duck,4s,6s
PF Gallagher,Fin,2019-2022,10,10,2,172,36,21.50,134,128.35,0,0,2,10,12
Nouman Sarwar,QAT,2019-2019,14,9,6,172,47*,57.33,128,134.37,0,0,1,16,6
IK Pathan,INDIA,2006-2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7
T Perera,BOT,2019-2021,10,10,1,172,30,19.11,199,86.43,0,0,1,24,2
GD Elliott,NZ/World,2009-2017,17,15,4,171,27,15.54,157,108.91,0,0,0,12,2
MNR Cooray,Mald,2019-2020,7,6,1,170,56*,34.00,148,114.86,0,1,0,21,3
D Pretorius,SA,2017-2021,22,11,4,170,77*,24.28,105,161.90,0,1,1,13,8
P Aho,NGA,2021-2021,16,15,4,169,44*,15.36,159,106.28,0,0,3,11,2
J Broad,GER,2022-2022,5,5,1,169,62,42.25,140,120.71,0,2,0,18,2
C Campher,IRE,2021-2022,12,11,2,169,40,18.77,152,111.18,0,0,0,11,3
M Vijay,INDIA,2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8
HV Mandhyan,HUN,2021-2022,10,10,1,168,41,18.66,155,108.38,0,0,0,13,6
Mohammad Nadeem,OMA,2015-2022,30,18,4,168,31,12.00,181,92.81,0,0,1,10,4
KMA Paul,WI,2018-2020,20,14,6,168,29,21.00,143,117.48,0,0,1,8,11
O Bascome,BMUDA,2019-2021,17,15,1,166,37,11.85,166,100.00,0,0,2,12,9
HJ Jordaan,THAI,2019-2020,8,8,1,166,37*,23.71,210,79.04,0,0,0,10,4
I Liyanage,QAT,2020-2021,11,11,1,166,44,16.60,164,101.21,0,0,2,15,7
A Pusthay,Fin,2019-2022,12,12,0,166,56,13.83,176,94.31,0,1,1,13,1
ME Trescothick,ENG,2005-2006,3,3,0,166,72,55.33,131,126.71,0,2,0,23,1
WA Young,NZ,2021-2021,8,7,0,166,53,23.71,162,102.46,0,1,0,15,6
Hamza Dar,ESP,2019-2022,8,7,2,165,59*,33.00,143,115.38,0,1,0,11,7
A Shreshta,NGA,2021-2021,12,12,0,165,28,13.75,193,85.49,0,0,1,13,3
Umar Gul,PAK,2007-2016,60,27,9,165,32,9.16,156,105.76,0,0,6,11,10
MD Patel,USA,2019-2021,16,13,2,164,30,14.90,146,112.32,0,0,1,17,6
Tarun Sharma,Mex,2019-2019,8,8,1,164,49*,23.42,160,102.50,0,0,1,12,6
Waqas Khan,HKG,2014-2020,16,14,4,164,60,16.40,189,86.77,0,1,1,6,5
TN de Grooth,NED,2008-2013,15,13,5,163,49,20.37,155,105.16,0,0,0,16,1
A McAuley,IOM,2020-2021,5,5,1,162,45,40.50,164,98.78,0,0,0,13,1
Amjad Sher,Fin,2019-2022,12,12,1,161,37*,14.63,99,162.62,0,0,0,8,9
H Davids,SA,2012-2013,9,9,0,161,68,17.88,134,120.14,0,2,2,18,4
NMS Param,SGP,2019-2019,8,7,2,160,72*,32.00,118,135.59,0,1,0,12,6
Walid Ghauri,NOR,2019-2022,7,7,1,160,44*,26.66,166,96.38,0,0,0,16,3
JP Faulkner,AUS,2012-2017,24,18,7,159,41*,14.45,138,115.21,0,0,0,7,5
Junaid Siddique,BAN,2007-2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7
Manpreet Singh,ITA,2019-2021,14,12,1,159,36,14.45,187,85.02,0,0,1,13,2
A Mansale,VAN,2019-2019,14,14,0,159,38,11.35,151,105.29,0,0,4,14,5
RR Watson,SCOT,2007-2010,10,9,0,159,54,17.66,141,112.76,0,1,1,22,1
JL Ontong,SA,2008-2015,14,10,0,158,48,15.80,109,144.95,0,0,1,6,11
Basil Hameed,UAE,2020-2022,16,15,3,157,39*,13.08,122,128.68,0,0,0,7,7
Mudassar Bukhari,NED,2008-2016,38,26,8,157,28*,8.72,152,103.28,0,0,1,10,4
FH Allen,NZ,2021-2021,6,6,0,156,71,26.00,82,190.24,0,1,1,19,8
DT Tiripano,ZIM,2016-2022,21,14,3,156,28,14.18,155,100.64,0,0,2,9,6
KJ Young,Blz,2019-2021,9,9,2,156,44,22.28,151,103.31,0,0,1,15,4
SP Narine,WI,2012-2019,51,23,8,155,30,10.33,138,112.31,0,0,2,13,5
Gurdeep Singh,KENYA,2021-2021,10,9,0,154,44,17.11,159,96.85,0,0,1,19,2
Hadisullah Tarakhel,Belg,2021-2021,5,5,1,154,78,38.50,84,183.33,0,1,0,16,11
Wahab Riaz,PAK,2008-2020,36,18,6,154,30*,12.83,123,125.20,0,0,2,10,7
Mirza Ahsan,Aut,2019-2021,8,7,4,153,52*,51.00,67,228.35,0,2,0,9,12
Devender Singh,Ghana,2021-2021,11,9,7,152,47*,76.00,106,143.39,0,0,0,11,7
HD Rutherford,NZ,2013-2019,8,7,0,151,62,21.57,105,143.80,0,1,1,12,9
SM Sharif,SCOT,2012-2021,53,24,13,151,26,13.72,124,121.77,0,0,3,9,4
AM Tribe,JER,2021-2022,8,7,0,151,65,21.57,117,129.05,0,1,0,19,2
J Barker,LUX,2019-2021,13,10,2,150,39,18.75,169,88.75,0,0,1,16,1
NM Coulter-Nile,AUS,2013-2019,28,15,4,150,34,13.63,120,125.00,0,0,3,10,10
Delawar Khan,DEN,2019-2021,18,15,4,150,40*,13.63,123,121.95,0,0,2,7,11
Jitin Singh,TAN,2021-2021,10,9,0,150,60,16.66,116,129.31,0,1,1,20,1
Muhammad Amin,,2021-2021,6,6,0,150,80,25.00,113,132.74,0,2,1,19,5
Haroon Mughal,MLT,2019-2021,15,11,0,149,33,13.54,120,124.16,0,0,0,12,5
N Pathan,THAI,2019-2020,8,8,1,149,54*,21.28,128,116.40,0,1,1,10,7
GP Meade,ITA,2019-2021,14,11,0,148,43,13.45,175,84.57,0,0,1,11,2
JSE Dunford,JER,2019-2022,26,15,8,146,45*,20.85,155,94.19,0,0,3,14,0
TS Kamunhukamwe,ZIM,2020-2021,8,8,0,146,44,18.25,150,97.33,0,0,2,17,1
R Shepherd,WI,2020-2022,17,6,3,146,44*,48.66,94,155.31,0,0,0,6,13
DC Smith,PHI,2019-2022,9,9,1,146,35,18.25,154,94.80,0,0,1,14,1
SKDT Madusanka,SEY,2021-2021,6,6,1,145,43*,29.00,155,93.54,0,0,0,22,1
Maidul Islam,EST,2021-2021,6,6,0,145,49,24.16,151,96.02,0,0,0,13,4
Aaftab Alam Khan,MLT,2021-2022,11,11,4,144,71*,20.57,107,134.57,0,1,1,12,6
C Karunaratne,SL,2021-2022,22,18,9,144,24*,16.00,130,110.76,0,0,3,4,8
JN Loftie-Eaton,NAM,2021-2022,19,14,2,144,28,12.00,147,97.95,0,0,1,13,1
JTS Sumerauer,JER,2019-2022,16,13,3,144,54*,14.40,113,127.43,0,1,0,7,6
Wahidullah Usmani,Belg,2020-2021,7,7,0,144,72,20.57,149,96.64,0,1,0,14,2
M Klinger,AUS,2017-2017,3,3,0,143,62,47.66,112,127.67,0,1,0,12,2
AR McBrine,IRE,2014-2022,26,16,6,143,36,14.30,124,115.32,0,0,1,11,4
Amir Mangal,GER,2019-2020,10,10,3,142,40,20.28,91,156.04,0,0,0,11,8
J Bangura,SLE,2021-2021,10,10,0,142,46,14.20,191,74.34,0,0,2,13,3
Habib Khan,EST,2021-2021,6,6,0,142,60,23.66,131,108.39,0,2,0,10,7
Hassan Rasheed,Mald,2019-2021,12,11,0,142,34,12.90,178,79.77,0,0,1,8,3
KR Mayers,WI,2020-2022,7,7,1,142,40,23.66,99,143.43,0,0,0,15,8
Umar Amin,PAK,2013-2018,14,9,0,142,47,15.77,123,115.44,0,0,3,15,4
Faran Afzal,ESP,2019-2019,9,8,1,141,59*,20.14,140,100.71,0,1,0,11,6
Waheed Ahmed,UAE,2019-2020,15,13,6,141,45*,20.14,111,127.02,0,0,0,7,11
JN Frylinck,NAM,2019-2022,35,18,9,140,20,15.55,139,100.71,0,0,1,5,3
HR Walsh,USA/WI,2019-2022,31,15,5,140,28,14.00,143,97.90,0,0,2,9,4
P Heron,Caym,2022-2022,5,5,1,139,59,34.75,113,123.00,0,2,0,9,4
D Heyliger,CAN,2019-2022,22,12,8,139,24*,34.75,98,141.83,0,0,1,9,8
D Myers,ZIM,2021-2021,8,8,0,139,35,17.37,116,119.82,0,0,0,12,2
K Nestor,GIBR,2019-2022,16,14,2,139,26,11.58,165,84.24,0,0,2,11,5
AC Voges,AUS,2007-2013,7,5,2,139,51,46.33,114,121.92,0,1,0,8,2
Dipanjan Dey,SWE,2021-2021,6,6,2,138,75*,34.50,112,123.21,0,1,0,9,3
JR Philippe,AUS,2021-2021,10,10,0,138,45,13.80,126,109.52,0,0,1,8,5
IJL Trott,ENG,2007-2010,7,7,1,138,51,23.00,144,95.83,0,1,0,9,3
KD Mills,NZ,2005-2014,42,19,7,137,33*,11.41,123,111.38,0,0,4,11,5
HH Patel,MWI,2019-2019,7,6,1,137,44*,27.40,104,131.73,0,0,0,17,3
G Singh,USA,2021-2021,6,3,1,137,65,68.50,100,137.00,0,2,0,6,10
R Tari,VAN,2019-2019,14,14,5,137,28,15.22,117,117.09,0,0,2,6,5
DF Watts,SCOT,2007-2012,11,9,0,137,46,15.22,127,107.87,0,0,2,13,3
AR White,IRE,2008-2012,18,12,6,137,29,22.83,128,107.03,0,0,0,12,2
Zameer Khan,DEN,2019-2021,8,8,1,137,33,19.57,173,79.19,0,0,0,9,0
SL Malinga,SL,2006-2020,84,33,12,136,27,6.47,161,84.47,0,0,8,9,5
Mohammad Boota,UAE,2019-2022,19,15,7,136,20*,17.00,114,119.29,0,0,1,9,6
Shoaib Khan,OMA,2022-2022,6,6,0,136,57,22.66,102,133.33,0,1,0,18,1
Surya Anand,DEN,2021-2022,11,9,2,136,36,19.42,140,97.14,0,0,1,5,4
M van Lingen,NAM,2021-2022,10,7,0,135,51,19.28,129,104.65,0,1,0,14,3
Abdul Waheed,Saudi,2020-2021,7,7,2,134,41*,26.80,129,103.87,0,0,0,15,2
CT Mutombodzi,ZIM,2013-2020,15,14,3,134,32,12.18,144,93.05,0,0,2,9,2
Usman Patel,KUW,2020-2021,8,7,1,134,59*,22.33,112,119.64,0,2,1,22,0
Abdul Wahid,Saudi,2019-2021,12,9,4,133,72*,26.60,98,135.71,0,1,0,11,8
OJ Hairs,SCOT,2019-2021,12,12,2,133,26,13.30,84,158.33,0,0,3,7,11
VR Iyer,INDIA,2021-2022,9,7,3,133,35*,33.25,82,162.19,0,0,0,15,5
CH Morris,SA,2012-2019,23,13,4,133,55*,14.77,102,130.39,0,1,3,12,5
Rahel Khan,SWE,2021-2021,7,7,0,133,37,19.00,103,129.12,0,0,1,12,8
L Lamin,SLE,2021-2021,10,10,3,132,30*,18.85,171,77.19,0,0,0,10,2
Abdul Shakoor,ROM,2019-2022,13,9,3,131,31*,21.83,119,110.08,0,0,1,13,1
GEF Barnett,CAN,2008-2010,5,5,1,131,36,32.75,136,96.32,0,0,0,16,0
GT Taylor,Bhm,2021-2022,11,11,0,131,32,11.90,187,70.05,0,0,0,7,7
Abhishek Ahuja,HUN,2022-2022,6,6,0,130,61,21.66,129,100.77,0,1,1,9,5
AC Botha,IRE,2008-2010,14,11,1,130,38,13.00,141,92.19,0,0,2,12,1
DDP D'Silva,UAE,2019-2019,10,8,4,130,29,32.50,146,89.04,0,0,1,9,0
Muhamad Syahadat,MAL,2019-2022,11,10,3,130,41*,18.57,109,119.26,0,0,0,10,6
Naeem Islam,BAN,2008-2013,10,10,1,130,28,14.44,114,114.03,0,0,0,8,7
Rizwan Mahmood,DEN,2019-2022,9,8,1,130,45,18.57,104,125.00,0,0,1,8,5
AJ Ayannaike,NGA,2019-2021,20,19,0,129,33,6.78,166,77.71,0,0,5,10,3
Hasan Ali,PAK,2016-2022,49,18,10,129,23,16.12,67,192.53,0,0,3,7,11
BOP Fernando,SL,2019-2021,7,6,1,128,78*,25.60,114,112.28,0,1,0,11,4
Mirwais Ashraf,AFG,2010-2016,25,19,8,128,28*,11.63,115,111.30,0,0,2,5,8
CK Coventry,ZIM,2010-2015,13,12,2,127,30,12.70,90,141.11,0,0,2,14,6
PG Fulton,NZ,2006-2012,12,12,1,127,25,11.54,140,90.71,0,0,2,7,6
R Mazumder,CYP,2021-2021,6,6,1,127,53,25.40,99,128.28,0,1,0,13,3
Mohammad Mithun,BAN,2014-2021,17,13,1,127,47,10.58,136,93.38,0,0,2,10,4
MA Ouma,KENYA,2007-2013,22,19,1,127,19,7.05,160,79.37,0,0,3,15,1
AL Phehlukwayo,SA,2017-2021,35,20,6,127,27*,9.07,112,113.39,0,0,6,13,4
MJ Prior,ENG,2007-2010,10,8,2,127,32,21.16,100,127.00,0,0,1,11,5
AJ Staal,NED,2019-2021,14,12,4,127,28*,15.87,97,130.92,0,0,4,7,7
Aslam Mohammad,GRC,2019-2021,7,5,0,126,61,25.20,82,153.65,0,2,0,8,11
DAJ Bracewell,NZ,2011-2021,20,11,5,126,44,21.00,90,140.00,0,0,2,6,9
AJ Redmond,NZ,2009-2010,7,6,0,126,63,21.00,84,150.00,0,1,0,19,2
JL Denly,ENG,2009-2020,13,12,2,125,30,12.50,118,105.93,0,0,2,15,1
Muhammad Naeem,Saudi,2019-2020,7,6,2,125,42,31.25,126,99.20,0,0,1,7,3
PJ van Biljon,SA,2020-2021,10,8,2,125,42,20.83,101,123.76,0,0,0,10,4
EB Knowles,CZK-R,2019-2021,14,13,3,124,23,12.40,152,81.57,0,0,1,15,0
Mohammed Asghar,KUW,2019-2019,4,4,0,124,45,31.00,91,136.26,0,0,0,13,5
KH Pandya,INDIA,2018-2021,19,10,5,124,26*,24.80,95,130.52,0,0,0,8,6
RJ Peterson,SA,2006-2014,21,12,4,124,34,15.50,113,109.73,0,0,1,13,2
Shamim Hossain,BAN,2021-2021,10,9,1,124,31*,15.50,111,111.71,0,0,0,14,3
CF Tlali,LES,2021-2021,6,6,0,124,35,20.66,119,104.20,0,0,1,12,2
R Ashwin,INDIA,2010-2021,51,11,7,123,31*,30.75,115,106.95,0,0,0,14,1
Gurpratap Singh,CYP,2021-2021,6,6,0,123,54,20.50,80,153.75,0,1,1,4,13
AD Mascarenhas,ENG,2007-2009,14,13,5,123,31,15.37,100,123.00,0,0,3,8,5
Mohammad Nawaz,3,2016-2021,30,13,6,123,30*,17.57,92,133.69,0,0,2,9,7
Ahmed Raza,UAE,2014-2022,53,20,10,122,22,12.20,147,82.99,0,0,3,3,5
AW Hawkins-Kay,JER,2019-2019,16,13,5,122,27*,15.25,136,89.70,0,0,1,8,0
KM Jadhav,INDIA,2015-2017,9,6,0,122,58,20.33,99,123.23,0,1,0,12,3
NK Tiwari,CYP,2021-2021,6,6,1,122,46,24.40,133,91.72,0,0,1,11,2
Anique Uddin,DEN,2019-2021,11,11,0,121,31,11.00,154,78.57,0,0,1,8,1
Ijaz Hussain,ROM,2019-2022,16,11,1,121,40,12.10,137,88.32,0,0,0,10,6
K Rabada,SA,2014-2021,40,15,11,121,22,30.25,104,116.34,0,0,2,11,5
T Taylor,Caym,2019-2022,10,8,2,121,42,20.16,120,100.83,0,0,0,6,8
Amar Sharma,MLT,2020-2022,25,11,2,120,22*,13.33,141,85.10,0,0,0,3,2
GG Banner,Blz,2019-2021,9,9,1,120,47,15.00,121,99.17,0,0,3,4,10
Irfan Hafejee,PNM,2021-2021,6,6,1,120,41,24.00,159,75.47,0,0,0,12,1
J Jagroo,Bhm,2021-2022,11,11,0,120,34,10.90,140,85.71,0,0,2,7,5
DR Martyn,AUS,2005-2006,4,4,0,120,96,30.00,74,162.16,0,1,0,11,5
Imrul Kayes,BAN,2010-2017,14,13,0,119,36,9.15,134,88.80,0,0,4,14,3
DK Mathias,BHR,2022-2022,4,4,1,119,46*,39.66,110,108.18,0,0,0,12,4
C Wright,Caym,2019-2022,10,8,4,119,50,29.75,87,136.78,0,1,1,6,6
M Abdulla,MWI,2019-2021,10,7,2,118,42*,23.60,113,104.42,0,0,0,11,2
D Ajekun,NGA,2019-2021,11,11,0,118,22,10.72,179,65.92,0,0,1,12,1
SCJ Broad,ENG,2006-2014,56,26,10,118,18*,7.37,118,100.00,0,0,2,7,3
DT Christian,AUS,2010-2021,23,14,6,118,39,14.75,93,126.88,0,0,1,7,6
Janak Prakash,SGP,2019-2020,15,13,5,118,25*,14.75,92,128.26,0,0,2,9,5
T Marumani,ZIM,2021-2021,11,11,0,118,35,10.72,128,92.18,0,0,1,9,3
LA Musiani,Arg,2019-2021,10,10,1,118,27,13.11,133,88.72,0,0,1,14,0
Shamsudheen Purat,Saudi,2019-2020,6,5,1,118,88*,29.50,77,153.24,0,1,2,12,7
JE Taylor,WI,2006-2018,30,15,6,118,21,13.11,92,128.26,0,0,1,10,6
DR Hooper,GUE,2019-2022,16,12,5,117,19*,16.71,138,84.78,0,0,1,5,1
Mehran Khan,OMA,2015-2019,19,13,2,117,29,10.63,106,110.37,0,0,1,7,5
B Tuyizere,RWN,2021-2021,10,8,2,117,40,19.50,125,93.60,0,0,0,9,1
Ziaur Rahman,BAN,2012-2014,14,12,3,117,40*,13.00,91,128.57,0,0,3,3,10
Abrar Bilal,Aut,2019-2021,7,6,3,116,37,38.66,77,150.64,0,0,0,12,5
J Albin,BUL,2021-2022,18,12,6,116,19*,19.33,145,80.00,0,0,0,11,1
Aritra Dutta,SGP,2019-2019,8,8,0,116,33,14.50,114,101.75,0,0,0,8,5
Shahzaib Hasan,PAK,2009-2010,10,10,0,116,35,11.60,130,89.23,0,0,3,13,3
Zeeshan Sarwar,CYP,2021-2021,4,4,0,116,61,29.00,79,146.83,0,1,1,4,10
M Akayezu,RWN,2021-2021,11,9,1,115,51,14.37,81,141.97,0,1,0,9,9
Muhammad Muneeb,Belg,2020-2021,7,7,1,115,70*,19.16,122,94.26,0,1,2,10,2
TW Nightingale,GUE,2020-2022,8,7,2,115,46*,23.00,131,87.78,0,0,0,6,2
NM Odhiambo,KENYA,2010-2021,23,13,3,115,26,11.50,148,77.70,0,0,2,9,1
K Hinds,Bhm,2021-2021,6,6,0,114,40,19.00,92,123.91,0,0,0,7,6
S Kaveri,Mex,2019-2019,7,6,1,114,43,22.80,146,78.08,0,0,0,9,1
WD Parnell,SA,2009-2017,40,13,9,114,29*,28.50,96,118.75,0,0,0,10,3
DL Maddy,ENG,2007-2007,4,4,0,113,50,28.25,80,141.25,0,1,0,12,3
Mohamed Azzam,Mald,2019-2021,14,13,2,113,17*,10.27,136,83.08,0,0,1,10,0
G Stewart,ITA,2021-2021,6,5,0,113,51,22.60,81,139.50,0,1,2,11,6
Zubaidi Zulkifle,MAL,2019-2022,8,8,0,113,46,14.12,72,156.94,0,0,2,10,8
SP Khakurel,NEPAL,2014-2015,8,8,0,112,56,14.00,139,80.57,0,1,0,10,1
Mudassar Muhammad,GER,2019-2019,7,7,0,112,30,16.00,135,82.96,0,0,0,5,3
JH Davey,SCOT,2012-2021,28,15,7,111,24,13.87,85,130.58,0,0,1,7,4
AP Devcich,NZ,2013-2014,4,4,0,111,59,27.75,79,140.50,0,1,0,17,2
GF Linde,SA,2020-2021,14,11,1,111,29,11.10,85,130.58,0,0,2,6,6
S Samarawickrama,SL,2017-2021,9,9,0,111,32,12.33,118,94.06,0,0,1,10,0
Sandeep Goud,OMA,2019-2022,22,12,4,111,31*,13.87,119,93.27,0,0,0,5,3
JNK Shannon,IRE,2013-2018,8,8,0,111,60,13.87,84,132.14,0,1,1,12,5
SP Fleming,NZ,2005-2006,5,5,0,110,38,22.00,85,129.41,0,0,0,20,0
C Forbes,,2021-2021,6,6,0,110,31,18.33,103,106.79,0,0,0,18,1
Khizar Hayat,MAL,2020-2021,11,10,2,110,28,13.75,98,112.24,0,0,1,10,2
A Lark,Aut,2019-2019,5,4,0,110,43,27.50,121,90.90,0,0,1,15,0
Shahbaz Badar,BHR,2019-2022,7,7,0,110,44,15.71,111,99.09,0,0,2,12,0
Anwar Ali,PAK,2008-2016,16,11,4,109,46,15.57,77,141.55,0,0,0,6,6
MG Johnson,AUS,2007-2013,30,17,7,109,28*,10.90,95,114.73,0,0,2,8,3
G Kansonkho,MWI,2019-2021,11,8,1,109,33,15.57,122,89.34,0,0,1,11,1
Mamoon Latif,Belg,2019-2021,11,10,0,109,25,10.90,122,89.34,0,0,1,7,3
Suraj Kumar,OMA,2019-2021,17,11,2,109,42*,12.11,101,107.92,0,0,0,9,3
T van der Gugten,NED,2012-2021,40,11,4,109,40*,15.57,81,134.56,0,0,1,4,6
Harbhajan Singh,INDIA,2006-2016,28,13,5,108,21,13.50,87,124.13,0,0,1,11,4
Ritik Tomar,CZK-R,2022-2022,6,6,3,108,38,36.00,59,183.05,0,0,0,9,5
AJ Turner,AUS,2017-2021,18,13,4,108,24,12.00,129,83.72,0,0,1,4,2
B Zuiderent,NED,2009-2010,6,6,1,108,43*,21.60,124,87.09,0,0,0,8,1
D Klein,GER,2020-2022,13,12,5,107,31*,15.28,79,135.44,0,0,1,8,5
A Manousis,GRC,2019-2021,7,7,2,107,27,21.40,89,120.22,0,0,1,13,3
GJ Thompson,IRE,2016-2019,10,8,1,107,44,15.28,108,99.07,0,0,2,14,1
Amir Zaib,PORT,2021-2021,4,4,0,106,42,26.50,67,158.20,0,0,0,13,3
NA Maiolo,ITA,2019-2019,8,7,1,106,39*,17.66,104,101.92,0,0,0,11,2
Sami Ullah,ROM,2020-2021,9,7,1,106,33,17.66,55,192.72,0,0,1,13,4
MD Dai,PNG,2015-2017,9,8,0,105,31,13.12,128,82.03,0,0,0,4,0
S Dube,INDIA,2019-2020,13,9,3,105,54,17.50,77,136.36,0,1,0,7,6
JR Hopes,AUS,2005-2010,12,7,2,105,30,21.00,98,107.14,0,0,0,7,1
ND Laegsgaard,DEN,2019-2019,9,8,1,105,39,15.00,96,109.37,0,0,0,11,2
S Mba,NGA,2021-2021,8,7,2,105,40*,21.00,144,72.91,0,0,1,11,1
M Mosehle,SA,2017-2017,7,6,1,105,36,21.00,65,161.53,0,0,0,6,9
Bilal Tahir,KUW,2019-2021,11,11,3,104,34*,13.00,86,120.93,0,0,2,10,4
HB Kayondo,UGA,2019-2021,4,4,0,104,31,26.00,98,106.12,0,0,0,6,4
P Sarraf,NEPAL,2019-2020,12,11,2,104,27*,11.55,111,93.69,0,0,3,12,4
Sultan Ahmed,OMA,2015-2017,17,12,3,104,37*,11.55,83,125.30,0,0,3,14,0
GP Swann,ENG,2008-2012,39,16,11,104,34,20.80,89,116.85,0,0,2,9,1
MRJ Watt,SCOT,2015-2021,47,19,7,104,22,8.66,89,116.85,0,0,3,11,1
Wahidullah Sahak,NOR,2021-2022,8,8,0,103,52,12.87,117,88.03,0,1,0,9,3
SM Davies,ENG,2009-2011,5,5,0,102,33,20.40,82,124.39,0,0,0,12,0
T Munyonga,ZIM,2019-2022,9,6,2,102,44,25.50,94,108.51,0,0,0,5,2
Osama Mahmood,SUI,2021-2021,4,3,1,102,58*,51.00,79,129.11,0,1,0,11,4
Rehman Abdul,ITA,2019-2019,7,5,3,102,37*,51.00,103,99.02,0,0,0,7,3
Hilal Ahmad,CZK-R,2019-2021,15,14,4,101,44*,10.10,140,72.14,0,0,2,4,0
DF Jacobs,THAI,2019-2020,8,8,0,101,28,12.62,149,67.78,0,0,1,12,2
S Jora,NEPAL,2019-2019,6,6,1,101,53*,20.20,83,121.68,0,1,1,5,4
Khaibar Deldar,HUN,2021-2022,10,9,0,101,40,11.22,79,127.84,0,0,2,12,4
AV Lalcheta,OMA,2015-2019,17,10,2,101,20,12.62,82,123.17,0,0,0,9,4
B Lee,AUS,2005-2012,25,12,6,101,43*,16.83,71,142.25,0,0,2,9,4
Mohammed Nurji,MWI,2019-2019,6,5,3,101,36,50.50,59,171.18,0,0,0,8,6
V Shankar,INDIA,2018-2019,9,4,0,101,43,25.25,73,138.35,0,0,0,11,5
S Dhaniram,CAN,2008-2010,11,9,0,100,26,11.11,123,81.30,0,0,0,6,2
T Maruma,ZIM,2008-2019,13,13,4,100,23*,11.11,109,91.74,0,0,1,6,4
HM Nicholls,NZ,2016-2021,10,9,1,100,36*,12.50,112,89.28,0,0,0,9,0
CP Rizwan,UAE,2019-2021,7,6,0,100,44,16.66,99,101.01,0,0,0,12,1
Aziz Mohammad,Belg,2019-2021,6,6,1,99,67,19.80,67,147.76,0,1,1,6,8
BR Dunk,AUS,2014-2017,5,5,0,99,32,19.80,69,143.47,0,0,0,8,6
JOP Scamans,Fin,2019-2022,9,9,2,99,28,14.14,102,97.05,0,0,2,4,0
Shiraz Khan,KUW,2019-2021,15,11,4,99,25,14.14,90,110.00,0,0,1,7,4
Irfan Bhima,MWI,2019-2019,4,4,0,98,52,24.50,88,111.36,0,1,2,13,2
S Thakur,ROM,2021-2021,3,3,2,98,55,98.00,71,138.02,0,1,0,14,1
CR Woakes,ENG,2011-2021,16,8,4,98,37,24.50,66,148.48,0,0,1,4,6
Amir Ali,OMA,2015-2016,10,8,3,97,32*,19.40,65,149.23,0,0,0,11,2
CN Greaves,SCOT,2021-2021,9,7,1,97,45,16.16,104,93.26,0,0,0,7,2
V Mbazo,BOT,2019-2021,8,7,2,97,31*,19.40,95,102.10,0,0,0,8,1
Muhammad Kaleem,UAE,2016-2016,9,9,0,97,50,10.77,116,83.62,0,1,1,9,3
AM Samad,CAN,2008-2010,7,6,0,97,29,16.16,88,110.22,0,0,1,8,4
GM Strydom,Caym,2019-2019,6,6,0,97,49,16.16,89,108.98,0,0,2,6,5
G Venkateswaran,LUX,2019-2021,5,5,1,97,59,24.25,90,107.77,0,1,0,11,1
Zawar Farid,UAE,2019-2022,9,8,1,97,55,13.85,71,136.61,0,1,1,8,5
ML Castillo,Blz,2021-2021,5,5,0,96,59,19.20,105,91.42,0,1,0,8,3
RS Morton,WI,2006-2010,7,7,1,96,40,16.00,103,93.20,0,0,1,8,2
Usman Shahid,Fran,2021-2021,4,4,0,96,64,24.00,90,106.66,0,1,0,5,3
ML Udawatte,SL,2008-2017,8,8,0,96,25,12.00,87,110.34,0,0,2,10,2
MH Yardy,ENG,2006-2011,14,8,5,96,35*,32.00,72,133.33,0,0,3,9,1
S Conteh,SLE,2021-2021,10,10,0,95,34,9.50,158,60.12,0,0,3,7,0
Z Hoque,THAI,2019-2020,7,7,1,95,23*,15.83,98,96.93,0,0,0,6,4
RG Mukasa,UGA,2019-2021,9,9,0,95,26,10.55,133,71.42,0,0,0,5,3
TM Odoyo,KENYA,2007-2013,11,10,0,95,22,9.50,119,79.83,0,0,1,6,2
NS Poonia,SCOT,2007-2010,8,7,2,95,38*,19.00,108,87.96,0,0,2,3,1
Asrar Ahmed,GRC,2019-2021,7,5,2,94,38,31.33,108,87.03,0,0,0,11,1
Lucky Ali,DEN,2019-2022,12,9,0,94,18,10.44,130,72.30,0,0,0,7,0
Mehidy Hasan Miraz,BAN,2017-2018,13,11,2,94,19*,10.44,80,117.50,0,0,2,7,4
Sandeep Goud,Bhm,2021-2022,9,7,1,94,25,15.66,67,140.29,0,0,0,6,6
JH Stander,SCOT,2009-2012,11,11,2,94,45,10.44,90,104.44,0,0,3,6,4
JJ Tucker,BMUDA,2019-2019,5,5,1,94,50*,23.50,97,96.90,0,1,0,11,1
P Utseya,ZIM,2006-2015,35,21,9,94,13*,7.83,115,81.73,0,0,3,6,1
S Veerapathiran,BHR,2020-2022,10,8,3,94,33*,18.80,55,170.90,0,0,0,6,7
J Cutinho,CRC,2019-2019,3,3,0,93,46,31.00,98,94.89,0,0,0,7,4
Mohammad Amin,KUW,2019-2020,9,7,3,93,32,23.25,92,101.08,0,0,0,8,2
Samir Patel,LES,2021-2021,6,6,1,93,35*,18.60,95,97.89,0,0,1,6,4
J Trembeath-Moro,ESP,2022-2022,4,4,1,93,39,31.00,116,80.17,0,0,0,5,2
