name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank
Jaweed Sadran,Aut,17.25,12.1,8.53,10.733,0.889,0,0.889,15.333,24.524,Good
MO Jones,BMUDA,25,21.7,6.89,15.818,0.727,0,0.727,18.182,28.708,Good
P Khadka,NEPAL,45,43.5,6.2,13.385,0.308,0,0.308,13.846,46.5,Average
VJ Kingma,NED,37.75,23,9.84,20.267,0.889,0,0.889,33.556,61.91,Average
P Kumar,INDIA,24.12,19.5,7.42,15.6,0.8,0,0.8,19.3,29.828,Good
R Kumar,ROM,33.12,23.1,8.59,20.333,0.889,0,0.889,29.444,47.417,Average
RAS Lakmal,SL,41.25,26,9.51,18.764,0.727,0,0.727,30,65.381,Poor
WK McCallan,IRE,19,16.3,6.96,18.429,1.143,0,1.143,21.714,22.04,Good
ZE Matsinhe,MOZ,19.75,18,6.58,18,1,0,1,19.75,21.659,Good
RP Meredith,AUS,23.5,14.1,9.98,22.2,1.6,0,1.6,37.6,39.088,Good
Mohammad Ashraful,BAN,26.25,17.2,9.13,17.25,1,0,1,26.25,39.944,Good
AK Muslar,Blz,9.62,9.7,5.92,19.5,2,0,2,19.25,9.492,Good
Nasrulla Rana,HKG,27.87,19.8,8.41,14.345,0.727,0,0.727,20.273,39.064,Good
Nazmul Islam,BAN,33.12,28.8,6.88,19.15,0.667,0,0.667,22.083,37.978,Good
R Nehonde,BOT,23.37,19.5,7.19,17.333,0.889,0.222,0,20.778,28.005,Good
B Niaz,Belg,10.25,11,5.59,14.4,1.333,0.167,0.8,13.667,9.55,Good
AR Nurse,WI,39.75,30,7.95,18.462,0.615,0,0.615,24.462,52.669,Average
R Panchal,ESP,24.62,27,5.47,18,0.667,0,0.667,16.417,22.445,Good
Rakibul Hasan,ITA,18.37,17.2,6.39,19.714,1.143,0,1.143,21,19.564,Good
Rumman Raees,PAK,27.5,21.6,7.63,21.375,1,0,1,27.5,34.971,Good
Sarfaraz Ali,BHR,38.62,33.3,6.94,17.72,0.533,0,0.533,20.6,44.67,Average
HAM Shah,DEN,17.5,16.5,6.36,16.5,1,0.125,0.571,17.5,18.55,Good
I Sharma,INDIA,50,34.7,8.63,19.8,0.571,0,0.571,28.571,71.917,Poor
TAM Siriwardana,SL,25.75,17.2,8.95,10.615,0.615,0,0.615,15.846,38.41,Good
A Symonds,AUS,34.62,23.1,8.98,15.25,0.667,0,0.667,23.083,51.815,Average
Tejwinder Singh,CYP,13.12,15.6,5.04,20.5,1.333,0,1.333,17.5,11.021,Good
H Thaker,CAN,13.62,18,4.54,20.571,1.143,0.143,0.667,15.571,10.306,Good
RJW Topley,ENG,35.62,24.8,8.59,19.86,0.8,0,0.8,28.5,50.996,Average
R van der Merwe,Arg,7.75,9.7,4.76,15.6,1.6,0,1.6,12.4,6.148,Good
JJ van der Wath,SA,28.87,23.2,7.45,23.25,1,0,1,28.875,35.847,Good
Arjun Vinod,SUI,10.62,11.2,5.66,15,1.333,0,1.333,14.167,10.018,Good
Wahidullah Sahak,NOR,21.5,16.8,7.64,16.725,1,0,1,21.5,27.377,Good
Waqar Khan,Peru,10.75,9.7,6.61,19.5,2,0,2,21.5,11.843,Good
S Waqas Ahmed,NOR,19.25,17.2,6.69,17.25,1,0,1,19.25,21.464,Good
Zeeshan Kukikhel,HUN,23.5,14.2,9.89,19,1.333,0,1.333,31.333,38.736,Good
VD Adewoye,NGA,21,15.7,8.01,13.65,0.875,0.125,0.429,18.375,28.035,Good
Afif Hossain,BAN,24.28,18,8.09,9.692,0.538,0,0.538,13.077,32.738,Good
J Albin,BUL,53.42,30,10.68,14,0.467,0,0.467,24.933,95.088,Poor
Ameel Mauroof,Mald,41.28,29.1,8.5,14.571,0.5,0,0.5,20.643,58.48,Average
MK Anafie,Ghana,19.42,16.2,7.15,16.286,1,0,1,19.429,23.142,Good
Anasim Khan,BHR,42.85,32.5,7.89,20.727,0.636,0,0.636,27.273,56.348,Average
MJ Ansell,IOM,14,15.8,5.29,21.96,1.4,0,1.4,19.6,12.343,Good
A Ashokan,CZK-R,48,32.4,8.88,15,0.467,0,0.467,22.4,71.04,Poor
TD Astle,NZ,16.57,11.1,8.92,15.6,1.4,0.2,0.75,23.2,24.634,Good
Basil Hameed,UAE,10.71,11.8,5.42,11.571,1,0,1,10.714,9.675,Good
V Baskaran,SGP,36.85,32.5,6.78,17.538,0.538,0,0.538,19.846,41.64,Average
JP Behrendorff,AUS,26.71,18.8,8.5,16.5,0.875,0.125,0.429,23.375,37.839,Good
P Bhart,NOR,25.14,25.7,5.86,20,0.778,0,0.778,19.556,24.553,Good
LT Bichard,GUE,18.85,18.8,6,18.857,1,0,1,18.857,18.85,Good
D Bishoo,WI,19.57,17.2,6.79,17.229,1,0.143,0.5,19.571,22.147,Good
RD Chahar,INDIA,23.85,18.8,7.59,22,1.167,0,1.167,27.833,30.17,Good
H Dandapani,Fin,19.85,17.1,6.95,17.143,1,0,1,19.857,22.993,Good
M de Lange,SA,32.57,20,9.77,23.2,1.167,0,1.167,38,53.035,Average
JL Denly,ENG,13.28,10.2,7.75,12,1.167,0.167,0.6,15.5,17.153,Good
M Dixit,LUX,32.57,25.5,7.64,14.75,0.583,0,0.583,19,41.472,Average
G Goudie,SCOT,32,21.2,9.02,16.333,0.778,0,0.778,24.889,48.107,Average
CN Greaves,SCOT,29.14,22.7,7.69,17.533,0.778,0,0.778,22.667,37.348,Good
AS Hansra,CAN,13.42,12.8,6.26,15,1.167,0,1.167,15.667,14.002,Good
JW Hastings,AUS,35.28,26.5,7.96,20.667,0.778,0,0.778,27.444,46.805,Average
MC Henriques,AUS,27.71,19.7,8.43,13.8,0.7,0,0.7,19.4,38.933,Good
MJ Henry,NZ,27.28,18.8,8.68,22,1.167,0,1.167,31.833,39.465,Good
Hirenkumar Patel,Chile,11.71,12.8,5.46,22.5,1.75,0.25,1,20.5,10.656,Good
GB Hogg,AUS,53.28,42,7.61,19.6,0.467,0,0.467,24.867,67.577,Poor
A Husain,Arg,16.71,20.5,4.87,18,0.875,0,0.875,14.625,13.563,Good
Ibrarul Haq,Saudi,16.57,14.5,6.82,20.4,1.4,0,1.4,23.2,18.835,Good
Imran Ali,KUW,19.42,12.8,9.06,22.5,1.75,0,1.75,34,29.324,Good
Imran Haider,UAE,35.71,26.5,8.06,16.909,0.636,0,0.636,22.727,47.97,Average
Jasdeep Singh,USA,20,12,10,21,1.75,0,1.75,35,33.333,Good
Junaid Khan,PORT,15,12,7.5,21,1.75,0,1.75,26.25,18.75,Good
S Randiv,SL,19.85,18,6.61,18,1,0,1,19.857,21.868,Good
A Khan,DEN/ENG,21.42,19.5,6.56,15,0.778,0,0.778,16.667,23.419,Good
A Kheterpal,HUN,41,34.2,7.17,24,0.7,0,0.7,28.7,48.995,Average
NR Kumar,CAN,22.85,22.2,6.15,15.6,0.7,0,0.7,16,23.421,Good
MF Maharoof,SL,28.42,23.1,7.37,20.25,0.875,0,0.875,24.875,34.909,Good
S Mahmood,ENG,56.85,32.5,10.47,20.727,0.636,0,0.636,36.182,99.203,Poor
NA Maiolo,ITA,21.71,24,5.42,24,1,0,1,21.714,19.611,Good
P Malav,LUX,30.28,24,7.57,18.667,0.778,0,0.778,23.556,38.203,Good
CS Martin,NZ,27.57,19.7,8.39,23,1.167,0,1.167,32.167,38.552,Good
CE McConchie,NZ,16.71,15.5,6.44,21.72,1.4,0,1.4,23.4,17.935,Good
GP Meade,ITA,18.57,19.1,5.82,22.2,1.167,0,1.167,21.667,18.013,Good
CT Mutombodzi,ZIM,26.85,22.2,7.23,17.333,0.778,0,0.778,20.889,32.354,Good
Nasir Hossain,BAN,37.42,25.5,8.78,16.091,0.636,0,0.636,23.818,54.758,Average
T Natarajan,INDIA,17.42,13.7,7.62,24,1.75,0,1.75,30.5,22.123,Good
RB Patel,BUL,23.71,18,7.9,15.75,0.875,0,0.875,20.75,31.218,Good
SR Patel,ENG,45.85,36,7.64,16.8,0.467,0,0.467,21.4,58.382,Average
K Pierre,WI,38.42,24,9.6,16.8,0.7,0,0.7,26.9,61.472,Average
KB Ahir,PNM,30.14,25.1,7.19,21.9,0.875,0,0.875,26.375,36.118,Good
JB Reva,PNG,21.14,18.1,6.99,15.825,0.875,0,0.875,18.5,24.628,Good
MJ Ross,ITA,17.14,16.2,6.31,16.286,1,0.143,0.5,17.143,18.026,Good
Sahel Zadran,Aut,44,32.8,8.03,16.371,0.5,0,0.5,22,58.887,Average
Sayed Shirzad,AFG,16.57,12.8,7.73,22.5,1.75,0,1.75,29,21.348,Good
Sazib Bhuiyan,CZK-R,22.85,17.1,8,20,1.167,0,1.167,26.667,30.467,Good
Sharafuddin Ashraf,AFG,37,30,7.4,17.5,0.583,0,0.583,21.583,45.633,Average
Sheraz Sheikh,Belg,17.71,14.5,7.29,14.571,1,0,1,17.714,21.518,Good
DR Smith,WI,30.28,20.2,8.95,12.764,0.636,0,0.636,19.273,45.168,Average
OF Smith,WI,39.71,21.4,11.12,16.667,0.778,0,0.778,30.889,73.596,Poor
M Spry,Peru,8.85,8.5,6.2,15,1.75,0.25,1,15.5,9.145,Good
S Sreesanth,INDIA,41.14,29.1,8.47,22.667,0.778,0,0.778,32,58.076,Average
Syed Aziz,MAL,56.28,36.7,9.19,17,0.467,0,0.467,26.267,86.202,Poor
SR Taylor,USA,15.71,19.7,4.78,15.333,0.778,0,0.778,12.222,12.516,Good
T Thushara,SL,25.57,18.8,8.13,22,1.167,0,1.167,29.833,34.647,Good
JC Tredwell,ENG,59.42,45.2,7.87,21,0.467,0,0.467,27.733,77.939,Poor
JDF Vandersay,SL,56.42,42.2,8,21.086,0.5,0,0.5,28.214,75.227,Poor
DV Varghese,BUL,60.42,33,10.98,12.767,0.389,0,0.389,23.5,110.569,Poor
Waseeq Ahmed,BHR,22.71,20.5,6.62,18,0.875,0,0.875,19.875,25.057,Good
SMK Waththage,CZK-R,33.57,26.5,7.58,18.6,0.7,0,0.7,23.5,42.41,Average
B White,IRE,34.85,27.4,7.62,21.333,0.778,0,0.778,27.111,44.26,Average
S Williams,SLE,22.57,26.5,5.09,18.6,0.7,0,0.7,15.8,19.147,Good
Abdullah Jasat,PNM,25.16,20,7.55,20,1,0,1,25.167,31.66,Good
Abu Hider,BAN,55,36,9.16,18,0.5,0,0.5,27.5,83.967,Poor
CN Ackermann,NED,29.83,28,6.39,15.273,0.545,0,0.545,16.273,31.769,Good
BP Adapaka,HUN,33.33,24.1,8.27,20.657,0.857,0,0.857,28.571,45.94,Average
A Ahmadhel,BUL,25.83,17.6,8.77,13.05,0.75,0,0.75,19.375,37.755,Good
Amir Hayat,UAE,17.16,14,7.35,21,1.5,0,1.5,25.75,21.021,Good
DK Anefie,Ghana,29.16,31,5.64,18.6,0.6,0,0.6,17.5,27.41,Good
Arsalan Ahmed,GRC,25.5,20,7.65,17.143,0.857,0,0.857,21.857,32.513,Good
Aziz Mohammad,Belg,22.66,20.8,6.52,17.571,0.857,0,0.857,19.429,24.624,Good
WD Balaji Rao,CAN,17.83,14,7.64,21,1.5,0,1.5,26.75,22.704,Good
TL Best,WI,25.66,20,7.7,20,1,0,1,25.667,32.93,Good
JAR Blain,SCOT,18,20,5.4,24,1.2,0,1.2,21.6,16.2,Good
S Bodha,GIBR,23.33,16.6,8.4,16.4,1,0,1,23.333,32.662,Good
PRP Boissevain,NED,38.83,27,8.62,23.143,0.857,0,0.857,33.286,55.786,Average
JA Burrows,IOM,14.5,14,6.21,16.8,1.2,0.2,0.5,17.4,15.008,Good
NM Carter,SCOT,28,26,6.46,22.286,0.857,0,0.857,24,30.147,Good
RL Chase,WI,14.16,14.3,5.93,17.04,1.2,0,1.2,17,13.995,Good
JW Chilia,VAN,52.5,47.3,6.65,21.785,0.462,0,0.462,24.231,58.188,Average
HA Chohan,TAN,22.66,22,6.18,18.857,0.857,0,0.857,19.429,23.34,Good
MJ Clarke,AUS,37.5,26,8.65,10.4,0.4,0,0.4,15,54.062,Average
S Dhaniram,CAN,32,33.6,5.7,18.218,0.545,0,0.545,17.455,30.4,Good
Farhad Reza,BAN,43.5,26,10.03,14.182,0.545,0,0.545,23.727,72.717,Poor
PF Gallagher,Fin,27.5,27,6.11,23.143,0.857,0,0.857,23.571,28.004,Good
K Gilham,CZK-R,27,28,5.78,24,0.857,0,0.857,23.143,26.01,Good
MD Gunathilaka,SL,25.83,20.5,7.56,10.15,0.5,0,0.5,12.917,32.546,Good
Gurpratap Singh,CYP,21.5,20,6.45,20,1,0,1,21.5,23.112,Good
CV Harrison,GIBR,31.33,19.6,9.55,16.629,0.857,0,0.857,26.857,49.867,Average
R Hekure,PNG,24.5,20.8,7.05,12.3,0.6,0,0.6,14.7,28.787,Good
Imran Arif,Saudi,14.66,16,5.5,24,1.5,0,1.5,22,13.438,Good
Irfan Bhima,MWI,8.5,15,3.4,22.5,1.5,0,1.5,12.75,4.817,Good
SA Jumbe,TAN,21.66,18,7.22,15.429,0.857,0,0.857,18.571,26.064,Good
S Kaveri,Mex,11.66,13,5.38,15.6,1.2,0,1.2,14,10.455,Good
PK Langat,KENYA,14.83,11.3,7.85,11.2,1,0,1,14.833,19.403,Good
Kushal Malla,NEPAL,20.16,21,5.76,12.6,0.6,0,0.6,12.1,19.354,Good
W Madhevere,ZIM,42.66,35,7.31,11.053,0.316,0,0.316,13.474,51.974,Average
J Matharu,CAN,21,17,7.41,14.571,0.857,0,0.857,18,25.935,Good
CAJ Meschede,GER,19.16,20,5.75,24,1.2,0,1.2,23,18.362,Good
DJ Mitchell,NZ,20.16,11.8,10.22,9.857,0.857,0,0.857,17.286,34.339,Good
Muhammad Ansar,KUW,23.83,13.8,10.33,20.25,1.5,0,1.5,35.75,41.027,Average
Muhammad Murad,QAT,11.66,11,6.36,16.5,1.5,0,1.5,17.5,12.36,Good
JM Muirhead,AUS,18.16,15,7.26,18,1.2,0,1.2,21.8,21.974,Good
Musawar Shah,QAT,22.83,24,5.7,18,0.75,0,0.75,17.125,21.688,Good
T Muzarabani,ZIM,46.66,30,9.33,20,0.667,0,0.667,31.111,72.556,Poor
K Nassoro,TAN,22.5,24,5.62,16,0.667,0,0.667,15,21.075,Good
A Natubhai Ahir,PNM,22.5,19,7.1,16.286,0.857,0.143,0.333,19.286,26.625,Good
M Ntini,SA,49.66,32,9.31,19.2,0.6,0,0.6,29.8,77.056,Poor
IE O'Brien,NZ,19.33,13,8.92,19.5,1.5,0,1.5,29,28.737,Good
E Packard,GIBR,32.16,26,7.42,19.5,0.75,0,0.75,24.125,39.771,Good
MW Parkinson,ENG,22.16,14,9.5,21,1.5,0.25,0.667,33.25,35.087,Good
A Pusthay,Fin,21.5,16,8.06,13.714,0.857,0,0.857,18.429,28.882,Good
R Ravindra,NZ,13.83,19,4.36,22.8,1.2,0,1.2,16.6,10.05,Good
JE Root,ENG,23.16,14,9.92,9.333,0.667,0,0.667,15.444,38.291,Good
T Rossi,Arg,19.66,16.3,7.22,16.2,1,0,1,19.667,23.658,Good
Sabbir Rahman,BAN,11.66,11.1,6.26,8.325,0.75,0,0.75,8.75,12.165,Good
Sagar Pun,NEPAL,21.83,23.5,5.57,17.475,0.75,0,0.75,16.375,20.266,Good
Sarfaraj Patel,LES,24.66,17,8.7,17,1,0,1,24.667,35.757,Good
E Schiferli,NED,24.33,23,6.34,23,1,0,1,24.333,25.709,Good
PH Shamdasani,Peru,11.66,12,5.83,18,1.5,0,1.5,17.5,11.33,Good
MM Sharma,INDIA,30.83,23,8.04,17.25,0.75,0,0.75,23.125,41.312,Average
Shoaib Qureshi,Fin,18.16,13.6,7.97,16.08,1.2,0,1.2,21.8,24.123,Good
Sidhant Singh,SGP,36,23,9.39,17.25,0.75,0,0.75,27,56.34,Average
LMP Simmons,WI,12,7.1,10.04,8.52,1.2,0.2,0.5,14.4,20.08,Good
TB Sole,SCOT,22.83,21,6.52,21,1,0,1,22.833,24.809,Good
MWR Stokes,GUE,27.66,21,7.9,18,0.857,0,0.857,23.714,36.419,Good
Tariq Aziz,PORT,11.66,16,4.37,24,1.5,0,1.5,17.5,8.492,Good
Tauqeer Hussain,ESP,14.33,14.5,5.93,14.3,1,0,1,14.333,14.163,Good
M Taylor,Bhm,24.5,15.3,9.58,13.029,0.857,0,0.857,21,39.118,Good
WPUJC Vaas,SL,21.33,22,5.81,22,1,0,1,21.333,20.655,Good
Vinay Ravi,NOR,27.66,29.1,5.69,19.4,0.667,0,0.667,18.444,26.231,Good
Waqas Barkat,HKG,43.33,33.3,7.8,12.45,0.375,0,0.375,16.25,56.329,Average
AG Weligamage,HUN,54.33,31,10.51,18.6,0.6,0,0.6,32.6,95.168,Poor
KS Williamson,NZ,27.33,19.6,8.33,9.7,0.5,0,0.5,13.667,37.943,Good
SA Abbott,AUS,35.6,26.4,8.09,16.5,0.625,0,0.625,22.25,48.001,Average
AG Achar,SGP,15.2,15.6,5.84,15.6,1,0,1,15.2,14.795,Good
Khalid Zahid,SWE,46.4,39.4,7.06,19.5,0.5,0,0.5,23.2,54.597,Average
Ali Khan,USA,25.4,21.6,7.05,21.6,1,0,1,25.4,29.845,Good
Ali Yalmaz,HUN,30,19.2,9.37,16,0.833,0,0.833,25,46.85,Average
Amir Zaib,PORT,16.8,16.8,6,21,1.25,0,1.25,21,16.8,Good
Anique Uddin,DEN,15.4,13.2,7,11,0.833,0,0.833,12.833,17.967,Good
R Ankad,Mex,35.6,28.4,7.52,17.55,0.625,0,0.625,22.25,44.619,Average
Anshuman Rath,HKG,52.8,39.6,8,15.231,0.385,0,0.385,20.308,70.4,Poor
Arshad Hayat,CZK-R,20.6,12,10.3,12,1,0,1,20.6,35.363,Good
Azmatullah Omarzai,AFG,24.6,19.2,7.68,19.2,1,0,1,24.6,31.488,Good
Bilawal Bhatti,PAK,51,31.2,9.8,17.333,0.556,0,0.556,28.333,83.3,Poor
D Birrell,JER,20.6,19.8,6.24,19.56,1,0,1,20.6,21.424,Good
DR Briggs,ENG,39.8,21.6,11.05,18,0.833,0,0.833,33.167,73.298,Poor
KJ Coetzer,SCOT,14.2,13.2,6.45,13.2,1,0,1,14.2,15.265,Good
TH David,SGP,51,32.8,9.32,14.836,0.455,0,0.455,23.182,79.22,Poor
LA Dawson,ENG,35.4,30,7.08,18.75,0.625,0,0.625,22.125,41.772,Average
DM de Silva,SL,34.2,28.8,7.12,12,0.417,0,0.417,14.25,40.584,Average
JA Duffy,NZ,15,15.6,5.76,19.5,1.25,0.25,0.333,18.75,14.4,Good
JA Fitzgerald,GIBR,55.4,31.8,10.45,17.533,0.556,0,0.556,30.778,96.488,Poor
A Flintoff,ENG,32.2,30,6.44,21.429,0.714,0,0.714,23,34.561,Good
M Fru,CAM,27.4,15.6,10.53,19.5,1.25,0,1.25,34.25,48.087,Average
Garret Banner,Blz,32.4,26.4,7.36,22,0.833,0,0.833,27,39.744,Good
S Gasteratos,GRC,19,15.4,7.4,18.75,1.25,0,1.25,23.75,23.433,Good
WT Gavera,PNG,22.6,20.4,6.64,17,0.833,0,0.833,18.833,25.011,Good
DAS Gunaratne,SL,40.8,29.8,8.21,14.7,0.5,0,0.5,20.4,55.828,Average
AM Guruge,UAE,25,19.2,7.81,19.2,1,0,1,25,32.542,Good
Habib Khan,EST,28.4,24.2,7.04,20.1,0.833,0,0.833,23.667,33.323,Good
Hamid Mahmood,SWE,12.6,16.8,4.5,21,1.25,0,1.25,15.75,9.45,Good
K Hinds,Bhm,31.6,26.4,7.18,22,0.833,0,0.833,26.333,37.815,Good
JJ Huo,MOZ,22,21.8,6.05,18.1,0.833,0,0.833,18.333,22.183,Good
Imran Ameer,MLT,26.2,18,8.73,18,1,0,1,26.2,38.121,Good
Imran Butt,BHR,20.8,14.4,8.66,18,1.25,0,1.25,26,30.021,Good
Imran Yousaf,Saudi,28.2,22.8,7.42,19,0.833,0,0.833,23.5,34.874,Good
VR Iyer,INDIA,15,11,8.18,13.65,1.25,0,1.25,18.75,20.45,Good
Kaleem Sana,CAN,20.8,22.8,5.47,22.8,1,0,1,20.8,18.963,Good
M Kpaka,SLE,19,20.2,5.64,14.143,0.714,0.143,0.167,13.571,17.86,Good
UKPW Kumaranayaka,KUW,48,36,8,22.5,0.625,0,0.625,30,64,Average
MW Machan,SCOT,31.2,27,6.93,19.114,0.714,0,0.714,22.286,36.036,Good
CS MacLeod,SCOT,41.8,34.8,7.2,12.429,0.357,0,0.357,14.929,50.16,Average
AK Markram,SA,26.8,21.6,7.44,13.5,0.625,0,0.625,16.75,33.232,Good
Y Mitari,RWN,19,15.8,7.21,15.72,1,0,1,19,22.832,Good
RP Mitchell,Bhm,33.4,24,8.35,24,1,0,1,33.4,46.482,Average
Mohammed Siraj,INDIA,41.8,24,10.45,24,1,0,1,41.8,72.802,Poor
Mosaddek Hossain,BAN,32,26,7.38,10.7,0.417,0,0.417,13.333,39.36,Good
Muhammad Tanveer,QAT,32.8,27.4,7.18,15,0.556,0,0.556,18.222,39.251,Good
PWA Mulder,SA,18,13.2,8.18,13.2,1,0,1,18,24.54,Good
W Nalisa,VAN,35.4,24,8.85,17.143,0.714,0,0.714,25.286,52.215,Average
Naved-ul-Hasan,PAK,20.2,17,7.12,21.15,1.25,0,1.25,25.25,23.971,Good
RJ Nicol,NZ,33.4,24.6,8.14,9.369,0.385,0,0.385,12.846,45.313,Average
D Nikolov,BUL,31.4,18.4,10.23,10.133,0.556,0,0.556,17.444,53.537,Average
PJ Ongondo,KENYA,35.4,31.2,6.8,19.5,0.625,0,0.625,22.125,40.12,Average
SJ Patel,CZK-R,18.4,14.4,7.66,14.4,1,0.2,0.25,18.4,23.491,Good
SS Pathirana,SL,23.8,19,7.51,18.6,1,0,1,23.8,29.79,Good
J Perman,ESP,27.2,22.8,7.15,16.286,0.714,0,0.714,19.429,32.413,Good
C Pervez,CAN,17.6,15.6,6.76,15.6,1,0,1,17.6,19.829,Good
Qasim Anwar,CYP,14.8,15.6,5.69,19.5,1.25,0,1.25,18.5,14.035,Good
Rahmatullah Mangal,Fran,16.2,16.8,5.78,21,1.25,0,1.25,20.25,15.606,Good
Ritik Tomar,CZK-R,32.6,21.6,9.05,18,0.833,0,0.833,27.167,49.172,Average
SR Rocket,SEY,30.8,24,7.7,20,0.833,0,0.833,25.667,39.527,Good
MM Sarwar,KUW,22.6,15.2,8.92,14.88,1,0,1,22.6,33.599,Good
E Sebareme,RWN,19.8,20.4,5.82,17,0.833,0,0.833,16.5,19.206,Good
Amoluk Singh,Ghana,28.6,27.6,6.21,15.333,0.556,0,0.556,15.889,29.601,Good
N Senamontree,THAI,19,15,7.6,18.45,1.25,0,1.25,23.75,24.067,Good
Usman Shahid,Fran,15.2,14.8,6.16,18.3,1.25,0,1.25,19,15.605,Good
J Shaju,MLT,54.8,31.2,10.53,19.5,0.625,0,0.625,34.25,96.174,Poor
V Shankar,INDIA,38.2,25.2,9.09,21,0.833,0,0.833,31.833,57.873,Average
L Sipamla,SA,53,32.8,9.69,18.133,0.556,0,0.556,29.444,85.595,Poor
DC Smith,PHI,51.8,32.2,9.65,17.667,0.556,0,0.556,28.778,83.312,Poor
Sohail Khan,PAK,24.6,18,8.2,18,1,0,1,24.6,33.62,Good
G Stewart,ITA,22,26.4,5,22,0.833,0,0.833,18.333,18.333,Good
DC Stovell,BMUDA,32.6,24.2,8.08,15.075,0.625,0,0.625,20.375,43.901,Average
Surya Anand,DEN,26.2,32.4,4.85,18,0.556,0,0.556,14.556,21.178,Good
MB Tambe,Fin,42.6,27.6,9.26,19.714,0.714,0,0.714,30.429,65.746,Poor
RML Taylor,SCOT,39.2,30,7.84,16.667,0.556,0,0.556,21.778,51.221,Average
BM Tickner,NZ,46.8,30,9.36,18.75,0.625,0,0.625,29.25,73.008,Poor
Usama Master,MWI,21.2,15.8,8.05,15.72,1,0,1,21.2,28.443,Good
Usman Ali,Saudi,37.6,34.4,6.55,21.3,0.625,0,0.625,23.5,41.047,Average
LV van Beek,NED,42.6,28.8,8.87,16,0.556,0,0.556,23.667,62.977,Average
W Viraliliu,VAN,32.8,24.4,8.06,13.467,0.556,0,0.556,18.222,44.061,Average
Virandeep Singh,MAL,34.8,25.6,8.15,11.564,0.455,0,0.455,15.818,47.27,Average
AA Westphal,Mex,13,22.8,3.42,22.8,1,0,1,13,7.41,Good
HN Ya France,NAM,35.2,31.2,6.76,11.143,0.357,0,0.357,12.571,39.659,Good
C Zavoiu,ROM,8.8,6.6,8,6.36,1,0,1,8.8,11.733,Good
Zulqarnain Haider,ESP,18,24,4.5,15,0.625,0,0.625,11.25,13.5,Good
D Ahir,PNM,27.5,22.5,7.33,18,0.8,0,0.8,22,33.596,Poor
D Ajekun,NGA,19,16.7,6.8,11.1,0.667,0,0.667,12.667,21.533,Poor
DI Allan,KENYA,20.5,14,8.78,7.886,0.571,0,0.571,11.714,29.998,Poor
A Andrews,SUI,20.5,16.5,7.45,16.5,1,0,1,20.5,25.454,Poor
U Aryaman Sunil,SGP,21.75,18,7.25,14.4,0.8,0,0.8,17.4,26.281,Poor
Azam Khalil,SWE,25.5,22.5,6.8,22.5,1,0,1,25.5,28.9,Poor
JD Baker,Samoa,26.75,19.5,8.23,19.5,1,0,1,26.75,36.692,Poor
HMCM Bandara,SL,24,21,6.85,21,1,0,1,24,27.4,Poor
S Bau,PNG,33,30,6.6,8.571,0.286,0,0.286,9.429,36.3,Poor
MS Chapman,HKG/NZ,23.75,19.5,7.3,13,0.667,0,0.667,15.833,28.896,Poor
PP Chawla,INDIA,37.75,34.5,6.56,19.714,0.571,0,0.571,21.571,41.273,Poor
FA Cossa,MOZ,46.75,34.5,8.13,17.25,0.5,0,0.5,23.375,63.346,Poor
MD Dai,PNG,39.25,37.5,6.28,16.667,0.444,0,0.444,17.444,41.082,Poor
JM Davison,CAN,22.75,27,5.05,21.6,0.8,0,0.8,18.2,19.148,Poor
Dawood Ahmadzai,Fran,19.75,22.5,5.26,22.5,1,0,1,19.75,17.314,Poor
BFW de Leede,NED,43.25,22.5,11.53,11.25,0.5,0,0.5,21.625,83.112,Poor
NS Dhaliwal,CAN,14.75,15,5.9,10,0.667,0,0.667,9.833,14.504,Poor
RR Emrit,WI,39,24,9.75,24,1,0,1,39,63.375,Poor
E Ernest,SLE,22.5,28.5,4.73,19,0.667,0,0.667,15,17.738,Poor
Faisal Khan,Saudi,27.5,19.5,8.46,15.6,0.8,0,0.8,22,38.775,Poor
KJ Ferrary,GIBR,19.5,19.5,6,19.5,1,0,1,19.5,19.5,Poor
O Gholami,SWE,26.25,25.5,6.17,20.4,0.8,0,0.8,21,26.994,Poor
Jandu Hamoud,KUW,28,24,7,16,0.667,0,0.667,18.667,32.667,Poor
Z Hoque,THAI,30.5,31.5,5.8,18,0.571,0,0.571,17.429,29.483,Poor
MG Hunter,GIBR,15.75,17.2,5.47,16.95,1,0,1,15.75,14.359,Poor
Hussain Talat,PAK,13.5,9,9,6,0.667,0,0.667,9,20.25,Poor
KA Jamieson,NZ,70.25,43,9.8,21.3,0.5,0,0.5,35.125,114.742,Poor
Joginder Sharma,INDIA,34.5,21.7,9.51,21.45,1,0,1,34.5,54.682,Poor
J Jojo,DEN,38,42,5.42,21,0.5,0,0.5,19,34.327,Poor
A Kirschbaum,Arg,34,27.2,7.48,18.1,0.667,0,0.667,22.667,42.387,Poor
S Kizilkaya,TKY,18.5,13.5,8.22,13.5,1,0,1,18.5,25.345,Poor
V Kohli,INDIA,49.5,36.5,8.13,12.1,0.333,0,0.333,16.5,67.072,Poor
GA Lamb,ZIM,20,18.2,6.57,14.52,0.8,0,0.8,16,21.9,Poor
A Lark,Aut,13.75,16.5,5,16.5,1,0,1,13.75,11.458,Poor
