name,country,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank
DC Smith,PHI,18.25,94.8,0.097,1.667,0.111,9.333,0.0,17.301,Average
SKDT Madusanka,SEY,29.0,93.54,0.148,3.833,0.167,8.5,0.0,27.127,Good
Maidul Islam,EST,24.16,96.02,0.113,2.833,0.0,11.5,0.0,23.198,Good
Aaftab Alam Khan,MLT,20.57,134.57,0.168,1.636,0.364,5.455,0.091,27.681,Good
C Karunaratne,SL,16.0,110.76,0.092,0.667,0.5,4.444,0.0,17.722,Average
JTS Sumerauer,JER,14.4,127.43,0.115,1.0,0.231,6.154,0.077,18.35,Average
Wahidullah Usmani,BELG,20.57,96.64,0.107,2.286,0.0,10.857,0.143,19.879,Average
AR McBrine,IRE,14.3,115.32,0.121,0.938,0.375,4.688,0.0,16.491,Average
Amir Mangal,GER,20.28,156.04,0.209,1.9,0.3,5.0,0.0,31.645,Good
J Bangura,SLE,14.2,74.34,0.084,1.6,0.0,7.2,0.0,10.556,Average
Habib Khan,EST,23.66,108.39,0.13,2.833,0.0,10.0,0.333,25.645,Good
Hassan Rasheed,MALD,12.9,79.77,0.062,1.0,0.0,8.364,0.0,10.29,Average
KR Mayers,WI,23.66,143.43,0.232,3.286,0.143,4.857,0.0,33.936,Good
Umar Amin,PAK,15.77,115.44,0.154,2.111,0.0,6.444,0.0,18.205,Average
Faran Afzal,ESP,20.14,100.71,0.121,2.125,0.125,7.625,0.125,20.283,Good
Waheed Ahmed,UAE,20.14,127.02,0.162,1.385,0.462,3.615,0.0,25.582,Good
JN Frylinck,NAM,15.55,100.71,0.058,0.444,0.5,5.667,0.0,15.66,Average
P Heron,CAYM,34.75,123.0,0.115,2.6,0.2,15.8,0.4,42.742,Good
D Heyliger,CAN,34.75,141.83,0.173,1.417,0.667,4.583,0.0,49.286,Good
D Myers,ZIM,17.37,119.82,0.121,1.75,0.0,9.875,0.0,20.813,Good
K Nestor,GIBR,11.58,84.24,0.097,1.143,0.143,4.643,0.0,9.755,Poor
AC Voges,AUS,46.33,121.92,0.088,2.0,0.4,19.0,0.2,56.486,Good
Dipanjan Dey,SWE,34.5,123.21,0.107,2.0,0.333,14.0,0.167,42.507,Good
JR Philippe,AUS,13.8,109.52,0.103,1.3,0.0,7.6,0.0,15.114,Average
IJL Trott,ENG,23.0,95.83,0.083,1.714,0.143,12.0,0.143,22.041,Good
KD Mills,NZ,11.41,111.38,0.13,0.842,0.368,3.316,0.0,12.708,Average
HH Patel,MWI,27.4,131.73,0.192,3.333,0.167,8.5,0.0,36.094,Good
R Tari,VAN,15.22,117.09,0.094,0.786,0.357,5.929,0.0,17.821,Average
DF Watts,SCOT,15.22,107.87,0.126,1.778,0.0,7.444,0.0,16.418,Average
Zameer Khan,DEN,19.57,79.19,0.052,1.125,0.125,12.625,0.0,15.497,Average
SL Malinga,SL,6.47,84.47,0.087,0.424,0.364,2.121,0.0,5.465,Poor
Mohammad Boota,UAE,17.0,119.29,0.132,1.0,0.467,4.267,0.0,20.279,Good
Shoaib Khan,OMA,22.66,133.33,0.186,3.167,0.0,9.667,0.167,30.213,Good
Surya Anand,DEN,19.42,97.14,0.064,1.0,0.222,10.222,0.0,18.865,Average
M van Lingen,NAM,19.28,104.65,0.132,2.429,0.0,8.714,0.143,20.177,Good
Abdul Waheed,SAUDI,26.8,103.87,0.132,2.429,0.286,8.857,0.0,27.837,Good
CT Mutombodzi,ZIM,12.18,93.05,0.076,0.786,0.214,6.143,0.0,11.333,Average
Abdul Wahid,SAUDI,26.6,135.71,0.194,2.111,0.444,4.556,0.111,36.099,Good
OJ Hairs,SCOT,13.3,158.33,0.214,1.5,0.167,3.25,0.0,21.058,Good
VR Iyer,INDIA,33.25,162.19,0.244,2.857,0.429,6.143,0.0,53.928,Good
CH Morris,SA,14.77,130.39,0.167,1.308,0.308,4.231,0.077,19.259,Average
Rahel Khan,SWE,19.0,129.12,0.194,2.857,0.0,5.286,0.0,24.533,Good
L Lamin,SLE,18.85,77.19,0.07,1.2,0.3,8.0,0.0,14.55,Average
Abdul Shakoor,ROM,21.83,110.08,0.118,1.556,0.333,8.111,0.0,24.03,Good
GEF Barnett,CAN,32.75,96.32,0.118,3.2,0.2,13.4,0.0,31.545,Good
GT Taylor,BHM,11.9,70.05,0.075,1.273,0.0,5.545,0.0,8.336,Poor
Abhishek Ahuja,HUN,21.66,100.77,0.109,2.333,0.0,10.667,0.167,21.827,Good
DDP D'Silva,UAE,32.5,89.04,0.062,1.125,0.5,11.75,0.0,28.938,Good
Muhamad Syahadat,MAL,18.57,119.26,0.147,1.6,0.3,5.4,0.0,22.147,Good
Naeem Islam,BAN,14.44,114.03,0.132,1.5,0.1,5.6,0.0,16.466,Average
AJ Ayannaike,NGA,6.78,77.71,0.078,0.684,0.0,3.737,0.0,5.269,Poor
Hasan Ali,PAK,16.12,192.53,0.269,1.0,0.556,1.944,0.0,31.036,Good
BOP Fernando,SL,25.6,112.28,0.132,2.5,0.167,10.0,0.167,28.744,Good
CK Coventry,ZIM,12.7,141.11,0.222,1.667,0.167,2.917,0.0,17.921,Average
PG Fulton,NZ,11.54,90.71,0.093,1.083,0.083,5.25,0.0,10.468,Average
R Mazumder,CYP,25.4,128.28,0.162,2.667,0.167,9.5,0.167,32.583,Good
Mohammad Mithun,BAN,10.58,93.38,0.103,1.077,0.077,4.846,0.0,9.88,Poor
MA Ouma,KENYA,7.05,79.37,0.1,0.842,0.053,3.211,0.0,5.596,Poor
AL Phehlukwayo,SA,9.07,113.39,0.152,0.85,0.3,2.55,0.0,10.284,Average
MJ Prior,ENG,21.16,127.0,0.16,2.0,0.25,6.625,0.0,26.873,Good
AJ Staal,NED,15.87,130.92,0.144,1.167,0.333,4.75,0.0,20.777,Good
Aslam Mohammad,GRC,25.2,153.65,0.232,3.8,0.0,5.6,0.4,38.72,Good
DAJ Bracewell,NZ,21.0,140.0,0.167,1.364,0.455,4.364,0.0,29.4,Good
AJ Redmond,NZ,21.0,150.0,0.25,3.5,0.0,6.333,0.167,31.5,Good
JL Denly,ENG,12.5,105.93,0.136,1.333,0.167,4.917,0.0,13.241,Average
Muhammad Naeem,SAUDI,31.25,99.2,0.079,1.667,0.333,13.167,0.0,31.0,Good
PJ van Biljon,SA,20.83,123.76,0.139,1.75,0.25,7.625,0.0,25.779,Good
EB Knowles,CZK-R,12.4,81.57,0.099,1.154,0.231,4.923,0.0,10.115,Average
Mohammed Asghar,KUW,31.0,136.26,0.198,4.5,0.0,10.5,0.0,42.241,Good
KH Pandya,INDIA,24.8,130.52,0.147,1.4,0.5,5.6,0.0,32.369,Good
RJ Peterson,SA,15.5,109.73,0.133,1.25,0.333,5.0,0.0,17.008,Average
Shamim Hossain,BAN,15.5,111.71,0.153,1.889,0.111,5.556,0.0,17.315,Average
CF Tlali,LES,20.66,104.2,0.118,2.333,0.0,10.667,0.0,21.528,Good
R Ashwin,INDIA,30.75,106.95,0.13,1.364,0.636,5.545,0.0,32.887,Good
Gurpratap Singh,CYP,20.5,153.75,0.212,2.833,0.0,4.833,0.167,31.519,Good
AD Mascarenhas,ENG,15.37,123.0,0.13,1.0,0.385,4.692,0.0,18.905,Average
Mohammad Nawaz,PAK,17.57,133.69,0.174,1.231,0.462,3.462,0.0,23.489,Good
AW Hawkins-Kay,JER,15.25,89.7,0.059,0.615,0.385,6.923,0.0,13.679,Average
KM Jadhav,INDIA,20.33,123.23,0.152,2.5,0.0,9.333,0.167,25.053,Good
NK Tiwari,CYP,24.4,91.72,0.098,2.167,0.167,11.0,0.0,22.38,Good
Anique Uddin,DEN,11.0,78.57,0.058,0.818,0.0,7.545,0.0,8.643,Poor
Ijaz Hussain,ROM,12.1,88.32,0.117,1.455,0.091,4.091,0.0,10.687,Average
K Rabada,SA,30.25,116.34,0.154,1.067,0.733,3.133,0.0,35.193,Good
T Taylor,CAYM,20.16,100.83,0.117,1.75,0.25,6.125,0.0,20.327,Good
Amar Sharma,MLT,13.33,85.1,0.035,0.455,0.182,8.727,0.0,11.344,Average
GG Banner,BLZ,15.0,99.17,0.116,1.556,0.111,4.889,0.0,14.875,Average
Irfan Hafejee,PNM,24.0,75.47,0.082,2.167,0.167,11.0,0.0,18.113,Average
J Jagroo,BHM,10.9,85.71,0.086,1.091,0.0,5.636,0.0,9.342,Poor
DR Martyn,AUS,30.0,162.16,0.216,4.0,0.0,11.5,0.25,48.648,Good
Imrul Kayes,BAN,9.15,88.8,0.127,1.308,0.0,3.462,0.0,8.125,Poor
DK Mathias,BHR,39.66,108.18,0.145,4.0,0.25,11.75,0.0,42.904,Good
C Wright,CAYM,29.75,136.78,0.138,1.5,0.5,7.375,0.125,40.692,Good
M Abdulla,MWI,23.6,104.42,0.115,1.857,0.286,8.857,0.0,24.643,Good
D Ajekun,NGA,10.72,65.92,0.073,1.182,0.0,5.818,0.0,7.067,Poor
SCJ Broad,ENG,7.37,100.0,0.085,0.385,0.385,2.769,0.0,7.37,Poor
DT Christian,AUS,14.75,126.88,0.14,0.929,0.429,3.857,0.0,18.715,Average
Janak Prakash,SGP,14.75,128.26,0.152,1.077,0.385,4.0,0.0,18.918,Average
T Marumani,ZIM,10.72,92.18,0.094,1.091,0.0,5.818,0.0,9.882,Poor
LA Musiani,ARG,13.11,88.72,0.105,1.4,0.1,6.2,0.0,11.631,Average
Shamsudheen Purat,SAUDI,29.5,153.24,0.247,3.8,0.2,5.6,0.2,45.206,Good
JE Taylor,WI,13.11,128.26,0.174,1.067,0.4,2.8,0.0,16.815,Average
DR Hooper,GUE,16.71,84.78,0.043,0.5,0.417,7.583,0.0,14.167,Average
Mehran Khan,OMA,10.63,110.37,0.113,0.923,0.154,4.538,0.0,11.732,Average
B Tuyizere,RWN,19.5,93.6,0.08,1.25,0.25,9.375,0.0,18.252,Average
Ziaur Rahman,BAN,13.0,128.57,0.143,1.083,0.25,3.75,0.0,16.714,Average
Abrar Bilal,AUT,38.66,150.64,0.221,2.833,0.5,6.333,0.0,58.237,Good
J Albin,BUL,19.33,80.0,0.083,1.0,0.5,5.5,0.0,15.464,Average
Aritra Dutta,SGP,14.5,101.75,0.114,1.625,0.0,6.75,0.0,14.754,Average
Shahzaib Hasan,PAK,11.6,89.23,0.123,1.6,0.0,4.6,0.0,10.351,Average
Zeeshan Sarwar,CYP,29.0,146.83,0.177,3.5,0.0,10.0,0.25,42.581,Good
M Akayezu,RWN,14.37,141.97,0.222,2.0,0.111,2.778,0.111,20.401,Good
Muhammad Muneeb,BELG,19.16,94.26,0.098,1.714,0.143,9.0,0.143,18.06,Average
TW Nightingale,GUE,23.0,87.78,0.061,1.143,0.286,11.286,0.0,20.189,Good
NM Odhiambo,KENYA,11.5,77.7,0.068,0.769,0.231,5.615,0.0,8.936,Poor
K Hinds,BHM,19.0,123.91,0.141,2.167,0.0,8.333,0.0,23.543,Good
S Kaveri,MEX,22.8,78.08,0.068,1.667,0.167,12.0,0.0,17.802,Average
WD Parnell,SA,28.5,118.75,0.135,1.0,0.692,4.308,0.0,33.844,Good
DL Maddy,ENG,28.25,141.25,0.188,3.75,0.0,11.75,0.25,39.903,Good
G Stewart,ITA,22.6,139.5,0.21,3.4,0.0,6.6,0.2,31.527,Good
Zubaidi Zulkifle,MAL,14.12,156.94,0.25,2.25,0.0,3.125,0.0,22.16,Good
SP Khakurel,NEPAL,14.0,80.57,0.079,1.375,0.0,8.25,0.125,11.28,Average
Mudassar Muhammad,GER,16.0,82.96,0.059,1.143,0.0,10.571,0.0,13.274,Average
JH Davey,SCOT,13.87,130.58,0.129,0.733,0.467,3.933,0.0,18.111,Average
AP Devcich,NZ,27.75,140.5,0.241,4.75,0.0,7.75,0.25,38.989,Good
GF Linde,SA,11.1,130.58,0.141,1.091,0.091,4.636,0.0,14.494,Average
S Samarawickrama,SL,12.33,94.06,0.085,1.111,0.0,7.889,0.0,11.598,Average
Sandeep Goud,OMA,13.87,93.27,0.067,0.667,0.333,6.083,0.0,12.937,Average
JNK Shannon,IRE,13.87,132.14,0.202,2.125,0.0,4.125,0.125,18.328,Average
SP Fleming,NZ,22.0,129.41,0.235,4.0,0.0,6.0,0.0,28.47,Good
Khizar Hayat,MAL,13.75,112.24,0.122,1.2,0.2,5.8,0.0,15.433,Average
A Lark,AUT,27.5,90.9,0.124,3.75,0.0,12.5,0.0,24.998,Good
Shahbaz Badar,BHR,15.71,99.09,0.108,1.714,0.0,8.857,0.0,15.567,Average
Anwar Ali,PAK,15.57,141.55,0.156,1.091,0.364,4.455,0.0,22.039,Good
MG Johnson,AUS,10.9,114.73,0.116,0.647,0.412,3.471,0.0,12.506,Average
G Kansonkho,MWI,15.57,89.34,0.098,1.5,0.125,7.375,0.0,13.91,Average
Mamoon Latif,BELG,10.9,89.34,0.082,1.0,0.0,6.3,0.0,9.738,Poor
Suraj Kumar,OMA,12.11,107.92,0.119,1.091,0.182,5.0,0.0,13.069,Average
T van der Gugten,NED,15.57,134.56,0.123,0.909,0.364,5.182,0.0,20.951,Good
Harbhajan Singh,INDIA,13.5,124.13,0.172,1.154,0.385,3.077,0.0,16.758,Average
Ritik Tomar,CZK-R,36.0,183.05,0.237,2.333,0.5,7.0,0.0,65.898,Good
AJ Turner,AUS,12.0,83.72,0.047,0.462,0.308,6.154,0.0,10.046,Average
B Zuiderent,NED,21.6,87.09,0.073,1.5,0.167,11.667,0.0,18.811,Average
D Klein,GER,15.28,135.44,0.165,1.083,0.417,3.75,0.0,20.695,Good
A Manousis,GRC,21.4,120.22,0.18,2.286,0.286,5.286,0.0,25.727,Good
GJ Thompson,IRE,15.28,99.07,0.139,1.875,0.125,5.625,0.0,15.138,Average
Amir Zaib,PORT,26.5,158.2,0.239,4.0,0.0,9.0,0.0,41.923,Good
NA Maiolo,ITA,17.66,101.92,0.125,1.857,0.143,7.143,0.0,17.999,Average
Sami Ullah,ROM,17.66,192.72,0.309,2.429,0.143,4.286,0.0,34.034,Good
MD Dai,PNG,13.12,82.03,0.031,0.5,0.0,11.125,0.0,10.762,Average
S Dube,INDIA,17.5,136.36,0.169,1.444,0.333,4.556,0.111,23.863,Good
JR Hopes,AUS,21.0,107.14,0.082,1.143,0.286,10.143,0.0,22.499,Good
ND Laegsgaard,DEN,15.0,109.37,0.135,1.625,0.125,6.125,0.0,16.406,Average
S Mba,NGA,21.0,72.91,0.083,1.714,0.286,7.857,0.0,15.311,Average
M Mosehle,SA,21.0,161.53,0.231,2.5,0.167,4.5,0.0,33.921,Good
Bilal Tahir,KUW,13.0,120.93,0.163,1.273,0.273,3.636,0.0,15.721,Average
HB Kayondo,UGA,26.0,106.12,0.102,2.5,0.0,14.0,0.0,27.591,Good
P Sarraf,NEPAL,11.55,93.69,0.144,1.455,0.182,2.909,0.0,10.821,Average
Sultan Ahmed,OMA,11.55,125.3,0.169,1.167,0.25,4.0,0.0,14.472,Average
GP Swann,ENG,20.8,116.85,0.112,0.625,0.688,3.875,0.0,24.305,Good
MRJ Watt,SCOT,8.66,116.85,0.135,0.632,0.368,2.842,0.0,10.119,Average
Wahidullah Sahak,NOR,12.87,88.03,0.103,1.5,0.0,6.125,0.125,11.329,Average
SM Davies,ENG,20.4,124.39,0.146,2.4,0.0,10.8,0.0,25.376,Good
T Munyonga,ZIM,25.5,108.51,0.074,1.167,0.333,11.667,0.0,27.67,Good
Rehman Abdul,ITA,51.0,99.02,0.097,2.0,0.6,11.2,0.0,50.5,Good
Hilal Ahmad,CZK-R,10.1,72.14,0.029,0.286,0.286,6.071,0.0,7.286,Poor
DF Jacobs,THAI,12.62,67.78,0.094,1.75,0.0,5.125,0.0,8.554,Poor
S Jora,NEPAL,20.2,121.68,0.108,1.5,0.167,9.5,0.167,24.579,Good
Khaibar Deldar,HUN,11.22,127.84,0.203,1.778,0.0,3.222,0.0,14.344,Average
AV Lalcheta,OMA,12.62,123.17,0.159,1.3,0.2,4.1,0.0,15.544,Average
B Lee,AUS,16.83,142.25,0.183,1.083,0.5,3.417,0.0,23.941,Good
Mohammed Nurji,MWI,50.5,171.18,0.237,2.8,0.6,6.6,0.0,86.446,Good
V Shankar,INDIA,25.25,138.35,0.219,4.0,0.0,6.75,0.0,34.933,Good
S Dhaniram,CAN,11.11,81.3,0.065,0.889,0.0,7.111,0.0,9.032,Poor
T Maruma,ZIM,11.11,91.74,0.092,0.769,0.308,4.0,0.0,10.192,Average
HM Nicholls,NZ,12.5,89.28,0.08,1.0,0.111,7.111,0.0,11.16,Average
CP Rizwan,UAE,16.66,101.01,0.131,2.167,0.0,7.667,0.0,16.828,Average
Aziz Mohammad,BELG,19.8,147.76,0.209,2.333,0.167,4.5,0.167,29.256,Poor
BR Dunk,AUS,19.8,143.47,0.203,2.8,0.0,6.2,0.0,28.407,Poor
JOP Scamans,FIN,14.14,97.05,0.039,0.444,0.222,9.222,0.0,13.723,Poor
Shiraz Khan,KUW,14.14,110.0,0.122,1.0,0.364,4.273,0.0,15.554,Poor
Irfan Bhima,MWI,24.5,111.36,0.17,3.75,0.0,8.5,0.25,27.283,Poor
CR Woakes,ENG,24.5,148.48,0.152,1.25,0.5,5.75,0.0,36.378,Poor
Amir Ali,OMA,19.4,149.23,0.2,1.625,0.375,5.125,0.0,28.951,Poor
CN Greaves,SCOT,16.16,93.26,0.087,1.286,0.143,8.143,0.0,15.071,Poor
V Mbazo,BOT,19.4,102.1,0.095,1.286,0.286,8.429,0.0,19.807,Poor
Muhammad Kaleem,UAE,10.77,83.62,0.103,1.333,0.0,4.778,0.111,9.006,Poor
AM Samad,CAN,16.16,110.22,0.136,2.0,0.0,6.833,0.0,17.812,Poor
GM Strydom,CAYM,16.16,108.98,0.124,1.833,0.0,7.167,0.0,17.611,Poor
G Venkateswaran,LUX,24.25,107.77,0.133,2.4,0.2,9.4,0.2,26.134,Poor
Zawar Farid,UAE,13.85,136.61,0.183,1.625,0.125,4.375,0.125,18.92,Poor
ML Castillo,BLZ,19.2,91.42,0.105,2.2,0.0,9.2,0.2,17.553,Poor
RS Morton,WI,16.0,93.2,0.097,1.429,0.143,7.429,0.0,14.912,Poor
Usman Shahid,FRAN,24.0,106.66,0.089,2.0,0.0,14.5,0.25,25.598,Poor
ML Udawatte,SL,12.0,110.34,0.138,1.5,0.0,5.5,0.0,13.241,Poor
MH Yardy,ENG,32.0,133.33,0.139,1.25,0.625,6.75,0.0,42.666,Poor
S Conteh,SLE,9.5,60.12,0.044,0.7,0.0,6.7,0.0,5.711,Poor
Z Hoque,THAI,15.83,96.93,0.102,1.429,0.143,6.714,0.0,15.344,Poor
RG Mukasa,UGA,10.55,71.42,0.06,0.889,0.0,6.333,0.0,7.535,Poor
TM Odoyo,KENYA,9.5,79.83,0.067,0.8,0.0,5.9,0.0,7.584,Poor
NS Poonia,SCOT,19.0,87.96,0.037,0.571,0.286,11.0,0.0,16.712,Poor
Asrar Ahmed,GRC,31.33,87.03,0.111,2.4,0.4,8.8,0.0,27.266,Poor
Lucky Ali,DEN,10.44,72.3,0.054,0.778,0.0,7.333,0.0,7.548,Poor
Mehidy Hasan Miraz,BAN,10.44,117.5,0.138,1.0,0.182,3.818,0.0,12.267,Poor
Sandeep Goud,BHM,15.66,140.29,0.179,1.714,0.143,4.857,0.0,21.969,Poor
JH Stander,SCOT,10.44,104.44,0.111,0.909,0.182,4.182,0.0,10.904,Poor
JJ Tucker,BMUDA,23.5,96.9,0.124,2.4,0.2,8.8,0.2,22.772,Poor
P Utseya,ZIM,7.83,81.73,0.061,0.333,0.429,3.048,0.0,6.399,Poor
S Veerapathiran,BHR,18.8,170.9,0.236,1.625,0.375,3.5,0.0,32.129,Poor
Mohammad Amin,KUW,23.25,101.08,0.109,1.429,0.429,7.0,0.0,23.501,Poor
Samir Patel,LES,18.6,97.89,0.105,1.667,0.167,7.5,0.0,18.208,Poor
J Trembeath-Moro,ESP,31.0,80.17,0.06,1.75,0.25,15.25,0.0,24.853,Poor
E Dusingizimana,RWN,15.33,122.66,0.187,2.333,0.0,5.0,0.0,18.804,Poor
BJ McCarthy,IRE,13.14,121.05,0.145,0.917,0.417,3.333,0.0,15.906,Poor
MC Sorensen,IRE,18.4,116.45,0.089,0.636,0.545,5.273,0.0,21.427,Poor
Yasir Arafat,PAK,13.14,116.45,0.127,0.909,0.364,4.364,0.0,15.302,Poor
ZM Tribe,JER,15.33,95.83,0.115,1.833,0.0,8.0,0.0,14.691,Poor
PS Airee,NEPAL,7.58,85.04,0.103,0.917,0.0,3.75,0.0,6.446,Poor
G Burrows,IOM,22.75,110.97,0.122,2.0,0.2,8.2,0.0,25.246,Poor
SM Curran,ENG,18.2,159.64,0.211,1.2,0.5,3.1,0.0,29.054,Poor
Raees Ahmadzai,AFG,30.33,108.33,0.071,1.0,0.5,10.833,0.0,32.856,Poor
Saeed Ajmal,PAK,8.27,105.81,0.105,0.391,0.522,2.217,0.0,8.75,Poor
GM Hamilton,SCOT,11.25,81.81,0.064,0.875,0.0,7.5,0.0,9.204,Poor
JN Mohammed,WI,18.0,87.37,0.097,1.25,0.375,6.0,0.0,15.727,Poor
Sagar Pun,NEPAL,10.0,90.0,0.13,1.444,0.0,4.222,0.0,9.0,Poor
NL Smith,ITA,22.5,81.08,0.072,1.333,0.333,8.333,0.0,18.243,Poor
DLS van Bunge,NED,11.25,86.53,0.048,0.417,0.333,5.333,0.0,9.735,Poor
MK Anafie,GHANA,14.83,114.1,0.154,1.5,0.25,3.875,0.0,16.921,Poor
SKA Awiah,GHANA,17.8,80.9,0.064,1.4,0.0,11.0,0.0,14.4,Poor
Mazharul Islam,SEY,17.8,97.8,0.099,1.5,0.167,8.5,0.0,17.408,Poor
JJ Huo,MOZ,8.0,93.61,0.149,1.273,0.0,2.364,0.0,7.489,Poor
MO Jones,BMUDA,14.66,94.62,0.086,0.727,0.455,4.545,0.0,13.871,Poor
LC Le Tissier,GUE,9.77,106.02,0.12,0.909,0.182,4.364,0.0,10.358,Poor
Maaz Khan,LES,14.66,157.14,0.25,2.333,0.0,3.333,0.167,23.037,Poor
N Madziva,ZIM,17.6,110.0,0.112,0.9,0.5,4.2,0.0,19.36,Poor
Md Shafiqul Haque,THAI,22.0,141.93,0.177,2.75,0.0,8.0,0.0,31.225,Poor
Sazzad Hosen,BELG,14.66,100.0,0.125,1.833,0.0,7.333,0.0,14.66,Poor
Zishan Shah,DEN,22.0,101.14,0.092,1.6,0.2,10.8,0.2,22.251,Poor
Anasim Khan,BHR,12.42,116.0,0.12,1.0,0.222,5.0,0.0,14.407,Poor
C Munoz-Mills,ESP,14.5,103.57,0.095,0.727,0.455,4.455,0.0,15.018,Poor
IS Sodhi,NZ,12.42,104.81,0.133,0.917,0.417,2.75,0.0,13.017,Poor
Waseem Abbas,MLT,8.7,161.11,0.204,0.786,0.286,2.071,0.0,14.017,Poor
DI Allan,KENYA,8.6,63.7,0.052,0.7,0.0,5.8,0.0,5.478,Poor
MA Baig,MWI,17.2,81.9,0.067,0.778,0.444,6.444,0.0,14.087,Poor
GJ Hopkins,NZ,10.75,121.12,0.141,1.25,0.0,4.5,0.0,13.02,Poor
SM Pollock,SA,12.28,122.85,0.114,0.889,0.222,5.111,0.0,15.086,Poor
Shamsur Rahman,BAN,10.75,101.17,0.153,1.625,0.0,4.0,0.125,10.876,Poor
S Thakor,TAN,21.5,156.36,0.2,1.571,0.429,4.286,0.0,33.617,Poor
PVD Chameera,SL,7.08,95.5,0.101,0.391,0.478,2.043,0.0,6.761,Poor
JA Fitzgerald,GIBR,14.16,111.84,0.079,0.667,0.333,5.667,0.0,15.837,Poor
OD Hald,DEN,10.62,111.84,0.105,0.8,0.2,4.5,0.0,11.877,Poor
Kashif Daud,UAE,17.0,173.46,0.224,1.222,0.444,3.444,0.0,29.488,Poor
DP Michael,SAMOA,28.33,103.65,0.085,1.75,0.25,11.25,0.25,29.364,Poor
A Natubhai Ahir,PNM,10.62,81.73,0.125,1.625,0.0,3.625,0.0,8.68,Poor
AR Nurse,WI,42.5,119.71,0.141,1.25,0.75,4.875,0.0,50.877,Poor
AU Rashid,ENG,7.08,86.73,0.071,0.269,0.538,2.192,0.0,6.14,Poor
SI Runsewe,NGA,12.14,84.15,0.04,0.444,0.222,7.667,0.0,10.216,Poor
Khalid Zahid,SWE,16.8,135.48,0.177,1.833,0.167,6.0,0.0,22.761,Poor
Asif Bevinje,ROM,16.8,123.52,0.162,2.2,0.0,6.4,0.0,20.751,Poor
KNA Bandara,SL,28.0,106.32,0.089,1.75,0.25,12.5,0.0,29.77,Poor
N Khosla,MLT,21.0,88.42,0.053,1.25,0.0,15.0,0.0,18.568,Poor
MA Starc,AUS,9.33,102.43,0.073,0.353,0.471,3.294,0.0,9.557,Poor
V Balakrishnan,BOT,27.66,84.69,0.092,1.5,0.5,6.833,0.0,23.425,Poor
W Boshoff,SWE,11.85,83.0,0.06,0.857,0.0,8.429,0.0,9.836,Poor
Fayyaz Butt,OMA,13.83,92.22,0.1,0.818,0.455,3.909,0.0,12.754,Poor
C Hartmann,IOM,41.5,118.57,0.114,1.6,0.6,8.2,0.0,49.207,Poor
JK Kamande,KENYA,9.22,90.21,0.087,0.889,0.0,5.0,0.0,8.317,Poor
T Rajiv,SEY,13.83,118.57,0.186,2.167,0.0,4.5,0.0,16.398,Poor
S Thanikaithasan,DEN,13.83,109.21,0.105,1.333,0.0,7.5,0.0,15.104,Poor
AJ Tye,AUS,10.37,109.21,0.118,0.6,0.467,2.6,0.0,11.325,Poor
AS Hansra,CAN,13.66,96.47,0.082,0.875,0.25,6.0,0.0,13.178,Poor
TD Paine,AUS,10.25,106.49,0.13,1.111,0.111,4.0,0.0,10.915,Poor
PA Raikes,GIBR,27.33,136.66,0.15,2.25,0.25,9.5,0.0,37.349,Poor
Shaikh Ashraf,PERU,20.5,122.38,0.164,2.75,0.0,8.0,0.0,25.088,Poor
K Birkenstock,NAM,27.0,180.0,0.289,3.25,0.25,5.25,0.25,48.6,Poor
N Knights,IOM,16.2,155.76,0.25,2.6,0.0,3.0,0.0,25.233,Poor
Ahsan Abbasi,HKG,13.33,91.95,0.103,1.5,0.0,6.667,0.0,12.257,Poor
Ali Masood,EST,13.33,97.56,0.146,2.0,0.0,4.667,0.0,13.005,Poor
DAP Darrell,BMUDA,8.88,84.21,0.063,0.6,0.1,4.6,0.0,7.478,Poor
Faizan Asif,UAE,13.33,125.0,0.188,2.0,0.0,4.333,0.0,16.662,Poor
Abdul Hashmi,DEN,13.16,98.75,0.05,0.5,0.25,7.875,0.0,12.996,Poor
Ainool Hafizs,MAL,15.8,105.33,0.08,0.857,0.286,7.286,0.0,16.642,Poor
WAE Burton,SRB,19.75,146.29,0.259,3.5,0.0,4.75,0.0,28.892,Poor
Haider Butt,BHR,15.8,112.85,0.114,1.143,0.286,5.857,0.0,17.83,Poor
Khizer Ahmed,NOR,13.16,73.14,0.056,0.75,0.25,6.875,0.0,9.625,Poor
SC Kuggeleijn,NZ,19.75,213.51,0.324,1.5,0.5,2.125,0.0,42.168,Poor
CD Barnwell,WI,19.5,125.8,0.129,1.333,0.333,6.333,0.0,24.531,Poor
M Gouws,GIBR,15.6,156.0,0.2,2.0,0.0,5.6,0.0,24.336,Poor
R Gowthaman,SWE,15.6,82.1,0.042,0.8,0.0,12.0,0.0,12.808,Poor
GM Ntambalika,MWI,15.6,113.04,0.13,1.8,0.0,7.2,0.0,17.634,Poor
AR Patel,INDIA,19.5,125.8,0.113,0.7,0.6,4.4,0.0,24.531,Poor
KD Abeyrathna,NOR,11.0,63.11,0.057,1.0,0.0,6.714,0.0,6.942,Poor
Ayaan Khan,OMA,12.83,100.0,0.104,1.333,0.0,6.833,0.0,12.83,Poor
